target_name,species,uniprot_id,gene_symbol,assay_count,binding_type
MYL12B,H. sapiens,O14950,MYL12B,288,IC50
LRRIQ3 protein,human,A6PVS8,LRRIQ3,135,IC50
prolyl endopeptidase,Homo sapiens,P48147,PREP,94,IC50
IGKV2D-30 protein,Human,A0A075B6S6,IGKV2D-30,147,IC50
TRAV23DV6,H. sapiens,A0A075B6W5,TRAV23DV6,324,Ki
Immunoglobulin lambda variable 2-14 (IGLV2-14),Homo sapiens,P01704,IGLV2-14,355,Ki
"Cytochrome b c1 complex subunit 6 like, mitochondrial",Human,A0A096LP55,UQCRHL,52,Ki
IL3RA protein,Human,P26951,IL3RA,105,Ki
Dolichyl diphosphooligosaccharide  protein glycosyltransferase subunit DAD1,human,P61803,DAD1,284,Ki
LIN7A,Homo sapiens,O14910,LIN7A,334,Ki
SFI1,human,A8K8P3,SFI1,388,Kd
T cell receptor alpha variable 27 (TRAV27),Human,A0A087WT01,TRAV27,355,Kd
Disintegrin and metalloproteinase domain-containing protein 17,H. sapiens,O60226,CSVP,16,IC50
IGLV1-40 protein,human,P01703,IGLV1-40,61,EC50
Immunoglobulin kappa constant (IGKC),human,P01834,IGKC,393,Ki
AIM2 protein,Human,O14862,AIM2,291,Ki
Stathmin,Human,P16949,STMN1,89,EC50
DNA binding protein inhibitor ID 1,Homo sapiens,P41134,ID1,396,IC50
U6 snRNA-associated Sm-like protein LSm6 (LSM6),Homo sapiens,P62312,LSM6,101,Kd
"3 beta hydroxysteroid Delta(8),Delta(7) isomerase",Human,Q15125,EBP,394,EC50
Interferon alpha-5,Homo sapiens,P01569,IFNA5,45,IC50
KDR,human,P35968,KDR,326,Ki
Small ribosomal subunit protein uS17,human,P62280,RPS11,152,EC50
Carboxypeptidase E (CPE),Human,P16870,CPE,67,EC50
Orexin receptor type 2,H. sapiens,Q5VTM0,ORXR2,90,IC50
Beta-galactosidase (GLB1),H. sapiens,P16278,GLB1,131,IC50
Probable non-functional T cell receptor gamma variable (TRGV1),H. sapiens,A0A0A0MS02,TRGV1,39,IC50
tgf-beta receptor type-1,H. sapiens,P36897,TGFBR1,64,Ki
STAT3 protein,human,P40763,STAT3,271,EC50
MAPK11,Homo sapiens,Q15759,MAPK11,202,IC50
TRBC1,Homo sapiens,P01850,TRBC1,86,IC50
CCL11 protein,H. sapiens,P51671,CCL11,119,Ki
Transcription factor Sp9 (SP9),human,P0CG40,SP9,203,IC50
Fibroblast growth factor 18 (FGF18),H. sapiens,O76093,FGF18,51,EC50
PGA4 protein,human,P0DJD7,PGA4,291,EC50
ST18 protein,Homo sapiens,O60284,ST18,93,EC50
IGLV4-69 protein,Human,A0A075B6H9,IGLV4-69,195,Ki
Ubiquitin carboxyl-terminal hydrolase 11 (USP11),human,P51784,USP11,287,EC50
Immunoglobulin lambda variable 4 69,Human,A0A075B6H9,IGLV4-69,158,IC50
Immunoglobulin kappa variable 1-17 (IGKV1-17),H. sapiens,P01599,IGKV1-17,231,IC50
ABTB3,Human,A6QL63,ABTB3,294,IC50
Gastrin,Human,P01350,GAST,273,EC50
Protein unc-119 homolog A (UNC119),Human,Q13432,UNC119,37,IC50
e3 ubiquitin-protein ligase mdm2,human,Q00987,MDM2,160,IC50
Ubiquitin-conjugating enzyme E2 D1 (UBE2D1),H. sapiens,P51668,UBE2D1,231,EC50
interleukin-7 receptor subunit alpha,Human,P16871,IL7R,186,EC50
Peptidyl-prolyl cis-trans isomerase A-like 4H,human,A0A075B767,PPIAL4H,377,EC50
AN1-type zinc finger protein 5,Human,O76080,ZFAND5,299,Ki
Ras-related protein R-Ras2,Homo sapiens,P62070,RRAS2,7,Kd
Voltage-gated inwardly rectifying potassium channel KCNH2,Homo sapiens,Q12809,KCNH2,165,EC50
PICALM protein,human,Q13492,PICALM,171,Ki
EBP,human,Q15125,EBP,320,Ki
estrogen receptor beta,Homo sapiens,Q92731,ESR2,60,Kd
HTR1B protein,human,P28222,HTR1B,63,IC50
V-type proton ATPase 16 kDa proteolipid subunit c,human,P27449,ATP6V0C,259,Ki
IRAK1 protein,human,P51617,IRAK1,33,EC50
rab proteins geranylgeranyltransferase component a 2,Homo sapiens,P26374,CHML,150,EC50
Interferon beta (IFNB1),Homo sapiens,P01574,IFNB1,139,EC50
E3 ubiquitin-protein ligase Mdm2,human,Q00987,MDM2,197,Ki
TRGV11 protein,Human,A0A075B6L2,TRGV11,125,Kd
Vascular endothelial growth factor receptor 2 (KDR),H. sapiens,P35968,KDR,363,Kd
Interleukin-1 alpha,H. sapiens,P01583,IL1A,285,Kd
ID1 protein,Human,P41134,ID1,33,EC50
transcription factor sox-15,human,O60248,SOX15,26,EC50
Chloride channel protein 2,Homo sapiens,P51788,CLCN2,207,EC50
GIPC1,H. sapiens,O14908,GIPC1,314,Ki
PTGS2 protein,human,P35354,PTGS2,143,Ki
Eukaryotic translation initiation factor 4H,human,Q15056,EIF4H,111,Ki
Neuronal membrane glycoprotein M6 b,Human,Q13491,GPM6B,216,Ki
SLIT-ROBO Rho GTPase-activating protein 2C,human,P0DJJ0,,35,IC50
5-hydroxytryptamine receptor 7 (HTR7),H. sapiens,P34969,HTR7,191,Ki
Phospholipid-transporting ATPase VA,human,O60312,ATP10A,297,Ki
IFNA17 protein,Human,P01571,IFNA17,109,Kd
tyrosine-protein kinase receptor ufo,Human,P30530,AXL,250,Kd
Insulin-like growth factor 2,H. sapiens,P01344,IGF2,49,IC50
Early growth response protein 4 (EGR4),Human,Q05215,EGR4,51,EC50
Serine/threonine-protein kinase D1 (PRKD1),Homo sapiens,Q15139,PRKD1,387,Ki
Poly [ADP-ribose] polymerase 1 (PARP1),human,P09874,PARP1,29,Ki
MAP/microtubule affinity-regulating kinase 3,Homo sapiens,P27448,MARK3,323,Kd
Testis-specific Y-encoded protein 4 (TSPY4),Human,P0CV99,TSPY4,251,EC50
PPARG protein,H. sapiens,P37231,PPARG,185,Kd
ELAVL4 protein,H. sapiens,P26378,ELAVL4,341,Kd
histone deacetylase 4,human,P56524,HDAC4,146,Kd
Prostaglandin-H2 D-isomerase,Human,P41222,PTGDS,327,IC50
Astrocytic phosphoprotein PEA 15,Homo sapiens,Q15121,PEA15,76,EC50
Prostaglandin H2 D isomerase,H. sapiens,P41222,PTGDS,216,Ki
Pepsin A 4,Human,P0DJD7,PGA4,254,IC50
U6 snRNA-associated Sm-like protein LSm6,human,P62312,LSM6,27,Kd
Immunoglobulin heavy variable 1-46 (IGHV1-46),H. sapiens,P01743,IGHV1-46,185,IC50
Immunoglobulin kappa variable 1-27 (IGKV1-27),human,A0A075B6S5,IGKV1-27,171,IC50
Immunoglobulin kappa variable 3D 15,H. sapiens,A0A087WSY6,IGKV3D-15,240,EC50
putative uncharacterized protein ccdc28a-as1,human,A0A096LPI5,CCDC28A-AS1,204,Ki
PDIA6,H. sapiens,Q15084,PDIA6,8,Ki
inhibitor of nuclear factor kappa-b kinase subunit beta,Human,O14920,IKBKB,210,Kd
Mitochondrial import inner membrane translocase subunit Tim23 (TIMM23),Homo sapiens,O14925,TIMM23,375,IC50
Leucine zipper putative tumor suppressor 3,Homo sapiens,O60299,LZTS3,315,EC50
HER2,human,P04626,ERBB2,183,IC50
PRKD1,Homo sapiens,Q15139,PRKD1,350,EC50
GHSR protein,Human,Q92847,GHSR,107,Ki
Histone deacetylase 4,Human,P56524,HDAC4,72,Kd
H(+)/Cl(-) exchange transporter 5 (CLCN5),human,P51795,CLCN5,307,IC50
Golgin subfamily A member 8A,H. sapiens,A7E2F4,GOLGA8A,225,Ki
Tumor necrosis factor receptor superfamily member 10A,H. sapiens,O00220,TNFRSF10A,320,IC50
GPC3 protein,Homo sapiens,P51654,GPC3,227,IC50
GALR1 protein,H. sapiens,P47211,GALR1,33,EC50
protocadherin gamma-a12,Human,O60330,PCDHGA12,92,IC50
Tyrosine-protein kinase receptor UFO,H. sapiens,Q8N5L2,UFO,64,Ki
Neurocalcin delta,H. sapiens,P61601,NCALD,42,Kd
Immunoglobulin heavy variable 4 39,human,P01824,IGHV4-39,306,Kd
G antigen 7,Homo sapiens,O76087,GAGE7,285,Kd
SMAD4 protein,human,Q13485,SMAD4,95,Kd
Probable non-functional immunoglobulin kappa variable 2D-24 (IGKV2D-24),H. sapiens,A0A075B6R9,IGKV2D-24,47,IC50
Glutamate decarboxylase 2 (GAD2),Human,Q05329,GAD2,329,Kd
chloride channel protein 2,H. sapiens,P51788,CLCN2,170,IC50
IFNB1 protein,Homo sapiens,P01574,IFNB1,213,EC50
PTGDS protein,Homo sapiens,P41222,PTGDS,253,Kd
FAM157B,human,P0CG42,FAM157B,294,IC50
AKAP3 protein,human,O75969,AKAP3,329,IC50
Mitogen-activated protein kinase 11,H. sapiens,A8K730,PRKM11,178,IC50
Annexin A13 (ANXA13),Human,P27216,ANXA13,145,IC50
GPR55 protein,H. sapiens,Q9Y2T6,GPR55,43,Kd
IGLV1-50,human,A0A075B6I6,IGLV1-50,286,EC50
IGHV3-7 protein,H. sapiens,P01780,IGHV3-7,341,IC50
Interleukin-1 receptor-associated kinase 1,human,P51617,IRAK1,107,EC50
PGA3 protein,Homo sapiens,P0DJD8,PGA3,281,Ki
Histone H1.3,H. sapiens,P16402,H1-3,270,Kd
Alpha-2A adrenergic receptor (ADRA2A),Human,P08913,ADRA2A,95,IC50
EPB42 protein,H. sapiens,P16452,EPB42,275,Ki
G antigen 12G,human,P0CL81,GAGE12G,277,IC50
mbt domain-containing protein 1,Human,Q05BQ5,MBTD1,174,Ki
STAG3L3,human,P0CL85,STAG3L3,56,IC50
Interleukin-15 (IL15),H. sapiens,P40933,IL15,187,Kd
ETS translocation variant 5 (ETV5),H. sapiens,P41161,ETV5,27,Ki
Tyrosine protein kinase ABL1,H. sapiens,P00519,ABL1,246,IC50
Natural cytotoxicity triggering receptor 3 (NCR3),human,O14931,NCR3,347,EC50
RPS13,Human,P62277,RPS13,380,EC50
organic cation/carnitine transporter 2,H. sapiens,O76082,SLC22A5,306,IC50
Valine--tRNA ligase,human,P26640,VARS1,169,IC50
TGR5,human,Q8TDU6,GPBAR1,66,IC50
IGKV1-39 protein,Homo sapiens,P01597,IGKV1-39,133,Kd
XDH,Human,P47989,XDH,12,EC50
Fatty-acid amide hydrolase 1 (FAAH),H. sapiens,O00519,FAAH,119,Ki
H(+)/Cl(-) exchange transporter 3,H. sapiens,P51790,CLCN3,73,Kd
ZFAND5 protein,Human,O76080,ZFAND5,225,Ki
T cell receptor beta variable 18,H. sapiens,A0A087X0M5,TRBV18,109,IC50
IGLV2-14,H. sapiens,P01704,IGLV2-14,318,IC50
Cystic fibrosis transmembrane conductance regulator (CFTR),Homo sapiens,P13569,CFTR,27,EC50
GPM6B protein,human,Q13491,GPM6B,253,Ki
BMX protein,H. sapiens,P51813,BMX,83,Kd
Serine/threonine-protein kinase TBK1,Homo sapiens,Q9UHD2,TBK1,191,EC50
Growth hormone secretagogue receptor type 1,human,Q92847,GHSR,70,Kd
Histone H1.2,Homo sapiens,P16403,H1-2,27,Kd
IL7R protein,human,P16871,IL7R,149,IC50
Tyrosine-protein kinase Mer (MERTK),Human,Q12866,MERTK,267,EC50
Bromodomain testis-specific protein (BRDT),Human,Q58F21,BRDT,291,Kd
CLCN3,human,P51790,CLCN3,110,Ki
Immunoglobulin J chain (JCHAIN),Homo sapiens,P01591,JCHAIN,403,Ki
carbonyl reductase [nadph] 1,Human,P16152,CBR1,188,Ki
5 hydroxytryptamine receptor 7,human,P34969,HTR7,228,Ki
FAM90A27P protein,Human,A6NNH2,FAM90A27P,241,Kd
IKZF1 protein,Human,Q13422-3,IKZF1,339,IC50
TIMM10 protein,H. sapiens,P62072,TIMM10,171,Ki
Estrogen receptor,Human,P03372,ESR1,149,EC50
IGKV3D-15 protein,Human,A0A087WSY6,IGKV3D-15,277,Kd
26S proteasome regulatory subunit 10B,Homo sapiens,P62333,PSMC6,251,Kd
Probable non-functional immunoglobulin lambda variable 3-32,human,A0A0A0MS00,IGLV3-32,67,IC50
"10 kDa heat shock protein, mitochondrial",H. sapiens,P61604,HSPE1,349,EC50
"keratin, type i cuticular ha3-i",Human,O76009,KRT33A,190,EC50
VIP peptides,human,P01282,,86,IC50
H(+)/Cl( ) exchange transporter 4,human,P51793,CLCN4,336,Kd
STAG3L1,human,P0CL83,STAG3L1,224,Kd
Non receptor tyrosine protein kinase TYK2,Homo sapiens,P29597,TYK2,354,IC50
IGKV1-17,Human,P01599,IGKV1-17,194,EC50
NR3C2 protein,Human,P08235,NR3C2,403,EC50
Histone deacetylase 4,human,E9PGB9,KIAA0288,174,Ki
stathmin,H. sapiens,P16949,STMN1,52,Kd
NEBL protein,human,O76041,NEBL,397,IC50
Small ribosomal subunit protein uS15,human,P62277,RPS13,54,IC50
RPS13 protein,human,P62277,RPS13,91,Kd
Interferon alpha-7,Human,P01567,IFNA7,173,Ki
interleukin-1 alpha,human,P01583,IL1A,248,Kd
large ribosomal subunit protein ul13,Human,P40429,RPL13A,334,EC50
chorionic somatomammotropin hormone 1,H. sapiens,P0DML2,CSH1,248,IC50
TYK2 protein,Homo sapiens,P29597,TYK2,391,EC50
"10 kDa heat shock protein, mitochondrial (HSPE1)",human,P61604,HSPE1,23,Ki
Neuronal calcium sensor 1 (NCS1),Homo sapiens,P62166,NCS1,99,EC50
NKG2 D type II integral membrane protein,Human,P26718,KLRK1,66,Ki
Phospholipase D2,Homo sapiens,O14939,PLD2,150,Kd
Immunoglobulin heavy variable 3-23,Homo sapiens,P01764,IGHV3-23,97,Ki
HCFC1,Homo sapiens,P51610,HCFC1,136,Kd
Interleukin 7 receptor subunit alpha,H. sapiens,P16871,IL7R,112,EC50
EZH2 protein,Human,Q15910,EZH2,107,Ki
HSD3B2 protein,Human,P26439,HSD3B2,205,EC50
RNASEL,H. sapiens,Q05823,RNASEL,218,Kd
Coiled-coil domain-containing protein 169 (CCDC169),human,A6NNP5,CCDC169,285,Kd
2-5A-dependent ribonuclease (RNASEL),Human,Q05823,RNASEL,255,Kd
PLD2,human,O14939,PLD2,76,EC50
Aldehyde dehydrogenase family 3 member A2,Human,P51648,ALDH3A2,355,Kd
Disintegrin and metalloproteinase domain containing protein 9,Human,Q13443,ADAM9,60,Kd
C-C chemokine receptor type 5,Human,P51681,CCR5,71,Ki
Plexin-A3,Human,P51805,PLXNA3,195,Kd
Protein FAM106C (FAM106C),human,P0CH98,FAM106C,351,Ki
CCDC28A-AS1 protein,Human,A0A096LPI5,CCDC28A-AS1,167,EC50
RPS16 protein,Homo sapiens,P62249,RPS16,245,Ki
SRSF11 protein,Human,Q05519,SRSF11,201,IC50
Tyrosine-protein phosphatase non-receptor type 11 (PTPN11),H. sapiens,Q06124,PTPN11,345,Ki
GAGE12F,Human,P0CL80,GAGE12F,96,Kd
IL15,Human,P40933,IL15,150,Ki
SPEG neighbor protein,Homo sapiens,A0A087WV53,SPEGNB,348,EC50
tumor necrosis factor receptor superfamily member 10a,Human,O00220,TNFRSF10A,394,Ki
CCNF protein,human,P41002,CCNF,7,Kd
Immunoglobulin heavy variable 3 53,Homo sapiens,P01767,IGHV3-53,258,IC50
Probable non-functional immunoglobulin lambda variable 1-50 (IGLV1-50),Human,A0A075B6I6,IGLV1-50,323,Kd
DAD1 protein,Homo sapiens,P61803,DAD1,321,Ki
Tyrosine-protein kinase Mer,human,Q12866,MERTK,193,Kd
GALR2,H. sapiens,O43603,GALR2,368,EC50
FFAR4,Homo sapiens,Q5NUL3,FFAR4,156,IC50
somatoliberin,Human,P01286,GHRH,86,Kd
Protein smoothened,Homo sapiens,Q99835,SMO,196,Ki
CNTF,H. sapiens,P26441,CNTF,294,EC50
KISS1R protein,Human,Q969F8,KISS1R,275,IC50
Mitochondrial import inner membrane translocase subunit Tim10,Homo sapiens,P62072,TIMM10,134,EC50
UQCRHL protein,Human,A0A096LP55,UQCRHL,89,IC50
G protein coupled receptor 55,Human,Q9Y2T6,GPR55,6,Kd
Immunoglobulin lambda variable 6 57,Human,P01721,IGLV6-57,370,EC50
Serum amyloid A-2 protein,Human,P0DJI9,SAA2,95,Kd
IGKV2D-30,H. sapiens,A0A075B6S6,IGKV2D-30,36,Kd
Immunoglobulin kappa variable 1D-33 (IGKV1D-33),Homo sapiens,P01593,IGKV1D-33,79,IC50
PAFAH1B3,Homo sapiens,Q15102,PAFAH1B3,290,IC50
Hepatocyte nuclear factor 4-alpha,H. sapiens,P41235,HNF4A,109,IC50
Immunoglobulin lambda variable 1 47,H. sapiens,P01700,IGLV1-47,348,Ki
protein transport protein sec61 subunit alpha isoform 1,human,P61619,SEC61A1,58,EC50
"Keratin, type I cuticular Ha4 (KRT34)",Human,O76011,KRT34,223,IC50
Small ribosomal subunit protein uS17 (RPS11),human,P62280,RPS11,115,Ki
TSPY10,H. sapiens,P0CW01,TSPY10,118,Kd
MAPKBP1,H. sapiens,O60336,MAPKBP1,174,IC50
MERTK,human,Q12866,MERTK,230,Kd
syntaxin-binding protein 1,human,P61764,STXBP1,384,Ki
"cgmp-specific 3',5'-cyclic phosphodiesterase",human,O76074,PDE5A,250,IC50
immunoglobulin lambda variable 8-61,Homo sapiens,A0A075B6I0,IGLV8-61,164,IC50
EXOSC9 protein,Human,Q06265,EXOSC9,165,Ki
IFNA2,Human,P01563,IFNA2,26,Kd
Immunoglobulin kappa variable 3D-15,human,A0A087WSY6,IGKV3D-15,351,Kd
"Interferon alpha inducible protein 27, mitochondrial",Human,P40305,IFI27,130,Ki
Proto-oncogene tyrosine-protein kinase ROS (ROS1),human,P08922,ROS1,225,Kd
PLD2 protein,Homo sapiens,O14939,PLD2,187,Kd
Mast/stem cell growth factor receptor Kit (KIT),Homo sapiens,P10721,KIT,25,Kd
Tubulin polyglutamylase TTLL13 (TTLL13),Homo sapiens,A6NNM8,TTLL13,143,Kd
OR2J2 protein,Human,O76002,OR2J2,9,EC50
PTPN11,H. sapiens,Q06124,PTPN11,308,Kd
Mitogen-activated protein kinase 10,human,A6NFS3,JNK3,24,IC50
Delta(14)-sterol reductase TM7SF2 (TM7SF2),human,O76062,TM7SF2,89,EC50
IGLV4-3 protein,Human,A0A075B6K6,IGLV4-3,193,Ki
Protein 4.2,Homo sapiens,P16452,EPB42,238,Kd
GAGE7 protein,H. sapiens,O76087,GAGE7,211,Ki
CBR1,Human,P16152,CBR1,262,Ki
Carbonic anhydrase 12,Homo sapiens,O43570,CA12,168,IC50
DHRS7C protein,human,A6NNS2,DHRS7C,393,Kd
c-x-c chemokine receptor type 4,H. sapiens,P61073,CXCR4,182,EC50
Galanin receptor type 1,Homo sapiens,Q4VBL7,GALNR,121,IC50
COX-2,human,P35354,PTGS2,134,IC50
HTR7 protein,H. sapiens,P34969,HTR7,265,Ki
RAC alpha serine/threonine protein kinase,Homo sapiens,P31749,AKT1,92,Ki
Ubiquitin conjugating enzyme E2 D1,Human,P51668,UBE2D1,268,Kd
Cyclin-dependent kinase 6 (CDK6),Homo sapiens,Q00534,CDK6,33,Kd
Carbonyl reductase [NADPH] 1,Human,P16152,CBR1,225,Ki
Interleukin-1 beta,human,P01584,,112,IC50
Estrogen receptor beta (ESR2),human,Q92731,ESR2,171,EC50
SNCG,human,O76070,SNCG,220,EC50
Mast/stem cell growth factor receptor Kit,H. sapiens,P10721,KIT,351,Kd
Platelet-derived growth factor receptor alpha (PDGFRA),human,P16234,PDGFRA,281,Ki
chymotrypsin-like protease ctrl-1,H. sapiens,P40313,CTRL,72,EC50
Inhibitor of nuclear factor kappa B kinase subunit epsilon,Homo sapiens,Q14164,IKBKE,196,Kd
FAAH protein,Human,O00519,FAAH,193,Ki
transient receptor potential cation channel subfamily m member 8,human,Q7Z2W7,TRPM8,210,Ki
probable non-functional immunoglobulin lambda variable 1-50,Human,A0A075B6I6,IGLV1-50,212,Kd
Tubulin polyglutamylase TTLL13,Human,A6NNM8,TTLL13,69,Ki
Immunoglobulin lambda variable 3-22,human,A0A075B6J6,IGLV3-22,301,IC50
G protein-coupled receptor 55 (GPR55),human,Q9Y2T6,GPR55,369,EC50
CA9 protein,H. sapiens,Q16790,CA9,97,Ki
"Cytochrome b-c1 complex subunit 6-like, mitochondrial",H. sapiens,A0A096LP55,UQCRHL,163,IC50
receptor-interacting serine/threonine-protein kinase 1,human,Q13546,RIPK1,88,EC50
Mitogen-activated protein kinase-binding protein 1 (MAPKBP1),H. sapiens,O60336,MAPKBP1,211,IC50
Beta-galactosidase,Human,P16278,GLB1,57,Kd
Immunoglobulin heavy variable 4-4,human,A0A075B6R2,IGHV4-4,187,Ki
putative e3 ubiquitin-protein ligase makorin-4,H. sapiens,Q13434,MKRN4P,24,Ki
DDR1 protein,human,Q08345,DDR1,49,Ki
immunoglobulin kappa variable 6d-21,H. sapiens,A0A0A0MT36,IGKV6D-21,272,IC50
Phosphatidylinositol 4-phosphate 5-kinase type-1 gamma,human,O60331,PIP5K1C,181,IC50
IL1A protein,Human,P01583,IL1A,211,Kd
TANK binding kinase 1 binding protein 1,Human,A7MCY6,TBKBP1,250,IC50
Interleukin-7 receptor subunit alpha,Homo sapiens,P16871,IL7R,223,Kd
Glypican 3,H. sapiens,P51654,GPC3,190,IC50
Nuclear transition protein 2,human,Q05952,TNP2,272,Ki
trna wybutosine-synthesizing protein 4,Homo sapiens,O60294,LCMT2,282,Ki
"10 kda heat shock protein, mitochondrial",H. sapiens,P61604,HSPE1,312,Kd
TRAV27,Human,A0A087WT01,TRAV27,318,Ki
UBE2D1 protein,Human,P51668,UBE2D1,305,IC50
Intermediate conductance calcium-activated potassium channel protein 4,human,O15554,KCNN4,119,Ki
ROS1,human,P08922,ROS1,188,Ki
BDNF/NT-3 growth factors receptor,Human,Q16620,NTRK2,395,Ki
Prostate specific antigen,Human,P07288,KLK3,360,Ki
Putative uncharacterized protein encoded by ERC2 IT1,human,O76042,ERC2-IT1,8,Ki
Hepatocyte growth factor-regulated tyrosine kinase substrate,human,O14964,,76,IC50
RIIa domain-containing protein 1,Homo sapiens,A6NNX1,RIIAD1,111,Kd
early endosome antigen 1,human,Q15075,EEA1,124,Ki
FHF complex subunit HOOK-interacting protein 1A,Human,Q05DH4,FHIP1A,293,Ki
Elongation factor 1 alpha 2,Homo sapiens,Q05639,EEF1A2,388,Ki
VARS1,H. sapiens,P26640,VARS1,206,Kd
interferon alpha-5,human,P01569,IFNA5,8,IC50
Early endosome antigen 1,Human,Q15075,EEA1,161,IC50
TRAC protein,human,P01848,TRAC,117,Ki
ZNF146 protein,human,Q15072,ZNF146,373,Kd
T cell receptor alpha variable 23/delta variable 6,Human,A0A075B6W5,TRAV23DV6,287,IC50
TBKBP1 protein,Human,A7MCY6,TBKBP1,287,IC50
KCNQ2,Human,O43526,KCNQ2,208,EC50
Serine/threonine-protein kinase Nek7,Homo sapiens,Q8TDX7,NEK7,165,Kd
"ATP synthase F(0) complex subunit g, mitochondrial",H. sapiens,O75964,ATP5MG,291,EC50
TGF-beta receptor type-1,Homo sapiens,P36897,TGFBR1,101,EC50
IGLV6-57 protein,H. sapiens,P01721,IGLV6-57,7,Kd
PRKCD protein,human,Q05655,PRKCD,303,Kd
"nuclear factor of activated t-cells, cytoplasmic 2",H. sapiens,Q13469,NFATC2,288,Ki
IGKV1D-33,human,P01593,IGKV1D-33,42,Ki
snRNA-activating protein complex subunit 2 (SNAPC2),Homo sapiens,Q13487,SNAPC2,87,EC50
Carbonic anhydrase 9,H. sapiens,Q5T4R1,G250,72,IC50
Astrocytic phosphoprotein PEA-15,Human,Q15121,PEA15,187,Ki
Protein kinase C delta type,human,Q05655,PRKCD,266,IC50
Immunoglobulin lambda variable 1-47 (IGLV1-47),human,P01700,IGLV1-47,311,Kd
Lysine-specific demethylase 5C,human,P41229,KDM5C,137,Ki
Ubiquitin C-terminal hydrolase 7,human,Q93009,USP7,305,Kd
Beta-2 adrenergic receptor,Homo sapiens,P07550,ADRB2,345,Kd
EBP protein,Homo sapiens,Q15125,EBP,31,EC50
NUTF2,Human,P61970,NUTF2,366,EC50
Ciliary neurotrophic factor (CNTF),H. sapiens,P26441,CNTF,331,Ki
HIPK2 protein,human,Q9H2X6,HIPK2,43,EC50
PDZ domain-containing protein GIPC1 (GIPC1),H. sapiens,O14908,GIPC1,351,IC50
ABL1 protein,Homo sapiens,P00519,ABL1,283,Ki
Cytoplasmic tyrosine protein kinase BMX,H. sapiens,P51813,BMX,46,Kd
H(+)/Cl(-) exchange transporter 4,Homo sapiens,P51793,CLCN4,47,Ki
"Ras related protein Rab 34, isoform NARR",human,P0DI83,RAB34,220,Kd
Protein SFI1 homolog (SFI1),human,A8K8P3,SFI1,25,Kd
ras-related protein r-ras2,Homo sapiens,P62070,RRAS2,370,EC50
C-C chemokine receptor type 5 (CCR5),human,P51681,CCR5,145,EC50
NCS1 protein,Human,P62166,NCS1,173,IC50
