internal_id,registered_name,gene_symbol,source_db,external_id,uniprot_ref,registered_by,registration_date,status
TGT-1380,Mitochondrial inner membrane protein OXA1L,OXA1L,UniProt,CHEMBL6067076,Q15070,kwilson,2020-01-19,active
TGT-1566,Ubiquitin carboxyl-terminal hydrolase isozyme L1,UCHL1,Manual,CHEMBL6159,P09936,jsmith,2021-08-14,active
TGT-1154,Free fatty acid receptor 3,FFAR3,ChEMBL,CHEMBL5201,O14843,kwilson,2023-10-25,active
TGT-1210,"Isocitrate dehydrogenase [NADP], mitochondrial",IDH2,UniProt,CHEMBL3991501,P48735,adas,2024-05-05,active
TGT-1167,Galanin receptor type 1,GALR1,UniProt,CHEMBL4894,P47211,lpatel,2024-05-05,active
TGT-1164,G antigen 12G,GAGE12G,Manual,,P0CL81,kwilson,2020-01-25,active
TGT-1331,MAP/microtubule affinity-regulating kinase 3,MARK3,UniProt,CHEMBL5600,P27448,njain,2025-06-27,active
TGT-1483,Chloride anion exchanger,SLC26A3,Manual,CHEMBL4523223,P40879,lpatel,2024-05-05,active
TGT-1235,Immunoglobulin heavy variable 3-9,IGHV3-9,UniProt,,P01782,jsmith,2021-08-02,active
TGT-1389,Proprotein convertase subtilisin/kexin type 9,PCSK9,ChEMBL,CHEMBL2929,Q8NBP7,adas,2022-09-03,active
TGT-1354,Natural cytotoxicity triggering receptor 1,NCR1,ChEMBL,CHEMBL6066290,O76036,adas,2023-10-16,active
TGT-1346,Matrix metalloproteinase-9,MMP9,ChEMBL,CHEMBL321,P14780,adas,2020-01-07,active
TGT-1180,Golgin subfamily A member 4,GOLGA4,UniProt,,Q13439,adas,2024-05-26,active
TGT-1148,Fumarylacetoacetase,FAH,UniProt,CHEMBL6066391,P16930,njain,2020-01-10,active
TGT-1025,DNA repair nuclease/redox regulator APEX1,APEX1,Manual,CHEMBL5619,P27695,jsmith,2022-09-15,active
TGT-1195,Histone deacetylase 1,HDAC1,Manual,CHEMBL325,Q13547,jsmith,2025-12-21,active
TGT-1288,Interleukin-1 receptor-associated kinase 1,IRAK1,ChEMBL,CHEMBL3357,P51617,adas,2023-04-13,active
TGT-1032,Phospholipid-transporting ATPase VA,ATP10A,ChEMBL,,O60312,kwilson,2020-01-10,active
TGT-1572,Ubiquitin carboxyl-terminal hydrolase 11,USP11,UniProt,CHEMBL4630820,P51784,kwilson,2021-02-08,active
TGT-1176,PDZ domain-containing protein GIPC1,GIPC1,Manual,,O14908,kwilson,2021-02-17,active
TGT-1594,Zinc finger protein 292,ZNF292,ChEMBL,,O60281,lpatel,2020-07-01,active
TGT-1054,Calreticulin,CALR,UniProt,CHEMBL6066425,P27797,njain,2025-06-27,active
TGT-1144,Histone-lysine N-methyltransferase EZH2,EZH2,Manual,CHEMBL2189110,Q15910,kwilson,2024-11-17,active
TGT-1080,H(+)/Cl(-) exchange transporter 3,CLCN3,Manual,CHEMBL2401603,P51790,jsmith,2025-12-21,active
TGT-1340,Monoglyceride lipase,MGLL,ChEMBL,CHEMBL4191,Q99685,jsmith,2025-06-03,active
TGT-1216,Interferon alpha-5,IFNA5,Manual,,P01569,kwilson,2025-12-15,active
TGT-1455,Large ribosomal subunit protein eL8,RPL7A,UniProt,CHEMBL6067558,P62424,lpatel,2021-08-26,active
TGT-1310,Kinocilin,KNCN,Manual,,A6PVL3,adas,2024-05-26,active
TGT-1501,SPEG neighbor protein,SPEGNB,Manual,,A0A087WV53,jsmith,2022-03-06,active
TGT-1194,Orexin receptor type 2,HCRTR2,UniProt,CHEMBL4792,O43614,kwilson,2020-07-07,active
TGT-1522,Mitochondrial import inner membrane translocase subunit Tim10,TIMM10,ChEMBL,CHEMBL6067408,P62072,njain,2023-10-07,active
TGT-1162,Glutamate decarboxylase 2,GAD2,ChEMBL,CHEMBL2952,Q05329,kwilson,2022-09-18,active
TGT-1568,Protein unc-119 homolog A,UNC119,ChEMBL,CHEMBL6066441,Q13432,lpatel,2022-09-06,active
TGT-1138,Estrogen receptor,ESR1,UniProt,CHEMBL206,P03372,njain,2020-01-13,active
TGT-1206,5-hydroxytryptamine receptor 1B,HTR1B,UniProt,CHEMBL1898,P28222,kwilson,2023-10-16,active
TGT-1350,Myosin-7B,MYH7B,Manual,CHEMBL3831286,A7E2Y1,jsmith,2020-01-19,active
TGT-1516,TBC1 domain family member 3I,TBC1D3I,ChEMBL,,A0A087WXS9,jsmith,2020-07-01,active
TGT-1081,H(+)/Cl(-) exchange transporter 4,CLCN4,ChEMBL,,P51793,kwilson,2023-04-19,active
TGT-1275,Immunoglobulin lambda variable 5-52,IGLV5-52,ChEMBL,,A0A0A0MRZ9,kwilson,2021-08-20,active
TGT-1512,Stathmin,STMN1,Manual,CHEMBL3879843,P16949,adas,2024-11-02,active
TGT-1484,Probable proton-coupled zinc antiporter SLC30A4,SLC30A4,UniProt,,O14863,kwilson,2022-09-06,active
TGT-1347,Myeloid cell nuclear differentiation antigen,MNDA,UniProt,,P41218,lpatel,2024-11-17,active
TGT-1150,Putative protein FAM157B,FAM157B,ChEMBL,,P0CG42,jsmith,2021-02-08,active
TGT-1065,C-C chemokine receptor type 6,CCR6,UniProt,CHEMBL4423,P51684,jsmith,2024-05-14,active
TGT-1525,Delta(14)-sterol reductase TM7SF2,TM7SF2,Manual,CHEMBL5839,O76062,njain,2022-09-06,active
TGT-1311,"Keratin, type I cuticular Ha3-I",KRT33A,ChEMBL,,O76009,kwilson,2025-06-27,active
TGT-1357,Nebulette,NEBL,ChEMBL,,O76041,adas,2024-05-26,active
TGT-1563,Ubiquitin-conjugating enzyme E2 D1,UBE2D1,UniProt,CHEMBL4105766,P51668,kwilson,2022-03-12,active
TGT-1597,Zinc finger protein 705D,ZNF705D,UniProt,,P0CH99,njain,2025-06-27,active
TGT-1341,E3 ubiquitin-protein ligase MGRN1,MGRN1,ChEMBL,,O60291,njain,2020-07-04,active
TGT-1530,Nuclear transition protein 2,TNP2,Manual,,Q05952,adas,2023-04-16,active
TGT-1253,Immunoglobulin kappa variable 3D-11,IGKV3D-11,ChEMBL,,A0A0A0MRZ8,njain,2020-01-22,active
TGT-1186,G protein-coupled receptor 55,GPR55,UniProt,CHEMBL1075322,Q9Y2T6,njain,2021-08-05,active
TGT-1141,ETS translocation variant 5,ETV5,UniProt,,P41161,adas,2021-02-26,active
TGT-1028,Rho GTPase-activating protein 10,ARHGAP10,ChEMBL,,A1A4S6,jsmith,2021-02-14,active
TGT-1115,D(2) dopamine receptor,DRD2,ChEMBL,CHEMBL217,P14416,njain,2023-04-22,active
TGT-1121,Dual specificity tyrosine-phosphorylation-regulated kinase 1B,DYRK1B,ChEMBL,CHEMBL5543,Q9Y463,njain,2022-03-27,active
TGT-9529,VIP peptides,,Manual,,P01282,adas,2021-02-26,active
TGT-1536,T cell receptor alpha variable 27,TRAV27,UniProt,,A0A087WT01,jsmith,2021-02-23,active
TGT-1285,Interleukin-3 receptor subunit alpha,IL3RA,Manual,CHEMBL3712987,P26951,jsmith,2024-05-02,active
TGT-1325,Mitogen-activated protein kinase kinase kinase 7,MAP3K7,UniProt,CHEMBL5776,O43318,adas,2020-01-13,active
TGT-1142,Transcription factor ETV6,ETV6,UniProt,CHEMBL2401606,P41212,kwilson,2023-10-16,active
TGT-1090,Coatomer subunit zeta-1,COPZ1,ChEMBL,,P61923,adas,2021-02-26,active
TGT-1392,"High affinity 3',5'-cyclic-AMP phosphodiesterase 7A",PDE7A,Manual,CHEMBL3012,Q13946,lpatel,2022-09-09,active
TGT-1396,Astrocytic phosphoprotein PEA-15,PEA15,ChEMBL,,Q15121,adas,2023-04-25,active
TGT-1520,TGF-beta receptor type-1,TGFBR1,UniProt,CHEMBL4439,P36897,kwilson,2024-11-11,active
TGT-1243,Immunoglobulin kappa variable 1-39,IGKV1-39,UniProt,,P01597,lpatel,2023-04-01,active
TGT-1446,Receptor-interacting serine/threonine-protein kinase 1,RIPK1,Manual,CHEMBL5464,Q13546,kwilson,2025-12-21,active
TGT-1075,Rab proteins geranylgeranyltransferase component A 2,CHML,UniProt,,P26374,lpatel,2025-06-06,active
TGT-1199,Homeodomain-interacting protein kinase 2,HIPK2,ChEMBL,CHEMBL4576,Q9H2X6,jsmith,2023-10-04,active
TGT-1583,Protein Wnt-9b,WNT9B,Manual,,O14905,lpatel,2025-06-06,active
TGT-1077,Probable cytosolic iron-sulfur protein assembly protein CIAO1,CIAO1,ChEMBL,,O76071,jsmith,2024-11-05,active
TGT-1015,A-kinase anchor protein 3,AKAP3,Manual,,O75969,adas,2024-05-23,active
TGT-1343,Motilin receptor,MLNR,Manual,CHEMBL2203,O43193,lpatel,2020-01-07,active
TGT-2425,WHSC1,WHSC1,Manual,,O96028,jsmith,2019-03-15,active
TGT-1020,Polyunsaturated fatty acid lipoxygenase ALOX15,ALOX15,UniProt,CHEMBL2903,P16050,njain,2020-01-13,active
TGT-1470,E-selectin,SELE,Manual,CHEMBL3890,P16581,kwilson,2020-01-22,active
TGT-1316,Leucine-rich repeat-containing protein 37A3,LRRC37A3,UniProt,,O60309,adas,2020-07-16,active
TGT-1276,Immunoglobulin lambda variable 6-57,IGLV6-57,UniProt,CHEMBL4739844,P01721,jsmith,2021-08-05,active
TGT-1000,Alpha-2-macroglobulin-like protein 1,A2ML1,ChEMBL,,A8K2U0,lpatel,2022-09-06,active
TGT-1342,Putative E3 ubiquitin-protein ligase makorin-4,MKRN4P,UniProt,,Q13434,lpatel,2024-11-08,active
TGT-1213,Interferon alpha-17,IFNA17,ChEMBL,,P01571,njain,2023-04-13,active
TGT-1460,Small ribosomal subunit protein eS7,RPS7,UniProt,CHEMBL6067572,P62081,kwilson,2020-01-07,active
TGT-1236,Immunoglobulin heavy variable 4-30-2,IGHV4-30-2,UniProt,,A0A087WSY4,lpatel,2022-09-24,active
TGT-1031,Arylsulfatase D,ARSD,ChEMBL,,P51689,lpatel,2021-02-20,active
TGT-1093,Beta-crystallin B3,CRYBB3,Manual,,P26998,njain,2023-04-22,active
TGT-1118,Double homeobox protein 4-like protein 5,DUX4L5,UniProt,,P0CJ88,njain,2023-10-13,active
TGT-1426,26S proteasome regulatory subunit 8,PSMC5,UniProt,CHEMBL3831208,P62195,kwilson,2022-09-27,active
TGT-1290,Immunoglobulin J chain,JCHAIN,UniProt,,P01591,kwilson,2021-02-02,active
TGT-1413,NADPH--cytochrome P450 reductase,POR,UniProt,CHEMBL2169731,P16435,njain,2025-06-06,active
TGT-1540,T cell receptor beta constant 1,TRBC1,UniProt,,P01850,lpatel,2021-02-20,active
TGT-1158,FHF complex subunit HOOK-interacting protein 1A,FHIP1A,ChEMBL,,Q05DH4,adas,2020-01-04,active
TGT-1110,Protein dispatched homolog 2,DISP2,UniProt,,A7MBM2,kwilson,2022-09-03,active
TGT-1326,Mitogen-activated protein kinase 10,MAPK10,Manual,CHEMBL2637,P53779,njain,2024-11-02,active
TGT-1406,Inactive phospholipase C-like protein 1,PLCL1,Manual,,Q15111,adas,2022-09-06,active
TGT-1246,Immunoglobulin kappa variable 1D-33,IGKV1D-33,Manual,,P01593,njain,2025-12-12,active
TGT-1293,Potassium voltage-gated channel subfamily A member 2,KCNA2,ChEMBL,CHEMBL2086,P16389,jsmith,2020-01-16,active
TGT-1146,Coagulation factor XII,F12,ChEMBL,CHEMBL2821,P00748,jsmith,2025-06-15,active
TGT-1463,Serum amyloid A-1 protein,SAA1,Manual,,P0DJI8,njain,2020-01-19,active
TGT-1096,Casein kinase II subunit alpha,CSNK2A1,ChEMBL,CHEMBL3629,P68400,lpatel,2024-05-23,active
TGT-1327,Mitogen-activated protein kinase 11,MAPK11,ChEMBL,CHEMBL3961,Q15759,adas,2025-12-06,active
TGT-1169,Gastrin,GAST,ChEMBL,,P01350,kwilson,2020-01-19,active
TGT-1537,T cell receptor alpha variable 7,TRAV7,Manual,,A0A075B6U4,kwilson,2024-05-20,active
TGT-1301,Kinesin heavy chain isoform 5C,KIF5C,ChEMBL,CHEMBL2029194,O60282,jsmith,2020-01-19,active
TGT-1355,Natural cytotoxicity triggering receptor 3,NCR3,Manual,,O14931,lpatel,2022-03-12,active
TGT-1321,Leucine zipper putative tumor suppressor 3,LZTS3,ChEMBL,,O60299,adas,2020-07-16,active
TGT-1026,Putative aquaporin-7B,AQP7B,Manual,,A0A075B734,lpatel,2020-01-10,active
TGT-1273,Immunoglobulin lambda variable 5-37,IGLV5-37,UniProt,,A0A075B6J1,kwilson,2024-05-17,active
TGT-1573,Ubiquitin carboxyl-terminal hydrolase 14,USP14,UniProt,CHEMBL1293295,P54578,njain,2022-09-21,active
TGT-1517,TBC1 domain family member 3K,TBC1D3K,Manual,,A0A087X1G2,njain,2023-10-16,active
TGT-1474,Protein SETSIP,SETSIP,UniProt,,P0DME0,kwilson,2024-05-26,active
TGT-1498,Transcription factor SOX-3,SOX3,UniProt,,P41225,adas,2024-05-26,active
TGT-1299,Vascular endothelial growth factor receptor 2,KDR,Manual,CHEMBL279,P35968,jsmith,2025-12-12,active
TGT-1320,U6 snRNA-associated Sm-like protein LSm6,LSM6,UniProt,,P62312,njain,2020-07-16,active
TGT-1125,Elongation factor 1-gamma,EEF1G,Manual,CHEMBL4295735,P26641,njain,2023-04-22,active
TGT-1295,Intermediate conductance calcium-activated potassium channel protein 4,KCNN4,UniProt,CHEMBL4305,O15554,adas,2023-04-16,active
TGT-1435,Tyrosine-protein phosphatase non-receptor type 12,PTPN12,UniProt,CHEMBL3236,Q05209,kwilson,2024-05-23,active
TGT-1060,Coiled-coil domain-containing protein 169,CCDC169,ChEMBL,,A6NNP5,njain,2022-09-09,active
TGT-1447,Receptor-interacting serine/threonine-protein kinase 2,RIPK2,Manual,CHEMBL5014,O43353,jsmith,2022-09-27,active
TGT-1104,DDB1- and CUL4-associated factor 7,DCAF7,UniProt,CHEMBL6067213,P61962,kwilson,2020-01-16,active
TGT-1001,Tyrosine-protein kinase ABL1,ABL1,UniProt,CHEMBL1862,P00519,kwilson,2021-08-26,active
TGT-1443,Transforming protein RhoA,RHOA,UniProt,CHEMBL6052,P61586,njain,2023-10-13,active
TGT-1136,Putative uncharacterized protein encoded by ERC2-IT1,ERC2-IT1,ChEMBL,,O76042,jsmith,2023-04-22,active
TGT-1271,Immunoglobulin lambda variable 4-60,IGLV4-60,Manual,,A0A075B6I1,njain,2023-10-10,active
TGT-9061,Protein S100-A4,,Manual,,P26447,lpatel,2021-02-17,active
TGT-1074,Cystic fibrosis transmembrane conductance regulator,CFTR,ChEMBL,CHEMBL4051,P13569,adas,2022-03-21,active
TGT-1419,Prolyl endopeptidase,PREP,UniProt,CHEMBL3202,P48147,adas,2025-06-12,active
TGT-1414,POU class 2 homeobox associating factor 3,POU2AF3,Manual,,A8K830,kwilson,2020-07-10,active
TGT-1428,26S proteasome non-ATPase regulatory subunit 7,PSMD7,Manual,CHEMBL3831214,P51665,njain,2025-06-15,active
TGT-1062,Eotaxin,CCL11,UniProt,CHEMBL3286077,P51671,lpatel,2021-08-08,active
TGT-1368,Nuclear receptor subfamily 4immunitygroup A member 1,NR4A1,ChEMBL,CHEMBL1293229,P22736,njain,2023-10-22,active
TGT-1557,Tubulin beta 8B,TUBB8B,UniProt,CHEMBL3832942,A6NNZ2,kwilson,2025-06-06,active
TGT-1013,Advanced glycation end product-specific receptor,AGER,ChEMBL,CHEMBL2176846,Q15109,adas,2022-09-15,active
TGT-1468,Secretin receptor,SCTR,ChEMBL,CHEMBL1925,P47872,lpatel,2024-05-20,active
TGT-1017,RAC-alpha serine/threonine-protein kinase,AKT1,UniProt,CHEMBL4282,P31749,njain,2023-04-04,active
TGT-1318,Limbic system-associated membrane protein,LSAMP,ChEMBL,,Q13449,njain,2022-09-12,active
TGT-1050,Carbonic anhydrase 9,CA9,UniProt,CHEMBL3594,Q16790,kwilson,2024-05-11,active
TGT-9855,Interleukin-1 beta,,Manual,,P01584,jsmith,2023-04-19,active
TGT-1157,Fibroblast growth factor receptor 2,FGFR2,ChEMBL,CHEMBL4142,P21802,njain,2024-11-23,active
TGT-1442,Regulator of G protein signaling 20,RGS20,ChEMBL,,O76081,lpatel,2023-04-07,active
TGT-1549,Triple functional domain protein,TRIO,ChEMBL,CHEMBL4523153,O75962,adas,2020-01-10,active
TGT-1421,Serine/threonine-protein kinase D1,PRKD1,ChEMBL,CHEMBL3863,Q15139,njain,2021-02-17,active
TGT-1478,"NAD-dependent protein deacetylase sirtuin-3, mitochondrial",SIRT3,UniProt,CHEMBL4461,Q9NTG7,njain,2025-06-15,active
TGT-1256,Immunoglobulin lambda variable 1-40,IGLV1-40,Manual,,P01703,jsmith,2022-03-21,active
TGT-1197,Protein deacetylase HDAC6,HDAC6,Manual,CHEMBL1865,Q9UBN7,kwilson,2023-04-25,active
TGT-1541,T cell receptor beta variable 16,TRBV16,UniProt,,A0A087WV62,njain,2020-01-16,active
TGT-9369,Hepatocyte growth factor-regulated tyrosine kinase substrate,,Manual,,O14964,njain,2023-10-10,active
TGT-1377,Nociceptin receptor,OPRL1,ChEMBL,CHEMBL2014,P41146,kwilson,2025-06-18,active
TGT-1372,Neurotensin receptor type 2,NTSR2,ChEMBL,CHEMBL2514,O95665,kwilson,2023-04-04,active
TGT-1461,Ras-related protein R-Ras2,RRAS2,ChEMBL,CHEMBL4879446,P62070,jsmith,2025-06-21,active
TGT-1504,SRSF protein kinase 1,SRPK1,UniProt,CHEMBL4375,Q96SB4,kwilson,2025-12-27,active
TGT-1011,Alpha-2A adrenergic receptor,ADRA2A,Manual,CHEMBL1867,P08913,lpatel,2022-03-21,active
TGT-1278,Inhibitor of nuclear factor kappa-B kinase subunit beta,IKBKB,Manual,CHEMBL1991,O14920,jsmith,2023-04-13,active
TGT-1012,Beta-2 adrenergic receptor,ADRB2,ChEMBL,CHEMBL210,P07550,lpatel,2024-11-11,active
TGT-1261,Immunoglobulin lambda variable 2-14,IGLV2-14,UniProt,,P01704,kwilson,2021-02-14,active
TGT-1255,Immunoglobulin kappa variable 6D-21,IGKV6D-21,ChEMBL,,A0A0A0MT36,adas,2024-11-26,active
TGT-1211,"Interferon alpha-inducible protein 27, mitochondrial",IFI27,UniProt,,P40305,njain,2023-10-19,active
TGT-1094,Chorionic somatomammotropin hormone 1,CSH1,UniProt,,P0DML2,lpatel,2024-11-02,active
TGT-1208,5-hydroxytryptamine receptor 7,HTR7,Manual,CHEMBL3155,P34969,njain,2022-03-15,active
TGT-1334,Germinal-center associated nuclear protein,MCM3AP,ChEMBL,,O60318,kwilson,2022-09-24,active
TGT-1508,Putative STAG3-like protein 1,STAG3L1,ChEMBL,,P0CL83,jsmith,2020-07-07,active
TGT-1410,Melanocyte protein PMEL,PMEL,Manual,CHEMBL3712988,P40967,kwilson,2020-01-10,active
TGT-1571,Nucleolar pre-ribosomal-associated protein 1,URB1,Manual,,O60287,njain,2023-10-10,active
TGT-1258,Immunoglobulin lambda variable 1-47,IGLV1-47,UniProt,,P01700,lpatel,2022-03-15,active
TGT-1056,Peripheral plasma membrane protein CASK,CASK,Manual,CHEMBL1908381,O14936,njain,2024-05-08,active
TGT-1351,Myosin regulatory light chain 12B,MYL12B,UniProt,CHEMBL4295652,O14950,kwilson,2021-08-14,active
TGT-1459,Small ribosomal subunit protein uS9,RPS16,UniProt,CHEMBL6067569,P62249,lpatel,2023-04-25,active
TGT-1131,Enolase 4,ENO4,UniProt,,A6NNW6,adas,2025-06-27,active
TGT-1450,Rho-related GTP-binding protein RhoE,RND3,ChEMBL,,P61587,njain,2021-08-17,active
TGT-1230,Immunoglobulin heavy variable 3-23,IGHV3-23,UniProt,,P01764,njain,2020-01-19,active
TGT-1219,Interferon gamma,IFNG,Manual,CHEMBL3286073,P01579,njain,2020-01-19,active
TGT-1217,Interferon alpha-7,IFNA7,UniProt,,P01567,adas,2020-01-13,active
TGT-1003,Ankyrin repeat- and BTB/POZ domain-containing protein 3,ABTB3,Manual,,A6QL63,njain,2021-02-11,active
TGT-1593,Zinc finger protein 157,ZNF157,Manual,,P51786,jsmith,2020-07-22,active
TGT-1456,Small ribosomal subunit protein uS17,RPS11,ChEMBL,CHEMBL6067557,P62280,adas,2022-03-03,active
TGT-1554,Testis-specific Y-encoded protein 8,TSPY8,UniProt,,P0CW00,jsmith,2025-06-06,active
TGT-1123,Early endosome antigen 1,EEA1,Manual,CHEMBL6067333,Q15075,njain,2024-11-17,active
TGT-1145,Coagulation factor XI,F11,Manual,CHEMBL2820,P03951,lpatel,2020-01-04,active
TGT-1098,Chymotrypsin-like protease CTRL-1,CTRL,Manual,CHEMBL4873,P40313,njain,2025-12-27,active
TGT-1579,"Vascular endothelial growth factor A, long form",VEGFA,UniProt,CHEMBL1783,P15692,lpatel,2022-03-03,active
TGT-1348,Macrophage mannose receptor 1,MRC1,UniProt,CHEMBL2176854,P22897,jsmith,2020-07-16,active
TGT-1043,Cytoplasmic tyrosine-protein kinase BMX,BMX,UniProt,CHEMBL3834,P51813,jsmith,2023-10-25,active
TGT-1452,Large ribosomal subunit protein uL16,RPL10,ChEMBL,CHEMBL6066928,P27635,jsmith,2025-06-15,active
TGT-1260,Immunoglobulin lambda variable 2-11,IGLV2-11,UniProt,,P01706,lpatel,2023-04-19,active
TGT-1108,"Dihydroorotate dehydrogenase (quinone), mitochondrial",DHODH,ChEMBL,CHEMBL1966,Q02127,adas,2025-06-15,active
TGT-1519,TANK-binding kinase 1-binding protein 1,TBKBP1,Manual,CHEMBL4523108,A7MCY6,adas,2021-08-11,active
TGT-1378,Olfactory receptor 2J2,OR2J2,UniProt,,O76002,kwilson,2024-05-11,active
TGT-1434,Tyrosine-protein phosphatase non-receptor type 11,PTPN11,ChEMBL,CHEMBL3864,Q06124,lpatel,2020-07-25,active
TGT-1386,Pre-B-cell leukemia transcription factor 2,PBX2,Manual,,P40425,jsmith,2020-01-10,active
TGT-1296,Potassium voltage-gated channel subfamily KQT member 2,KCNQ2,Manual,CHEMBL2476,O43526,jsmith,2020-07-13,active
TGT-1577,Prefoldin subunit 3,VBP1,Manual,,P61758,jsmith,2024-11-23,active
TGT-1233,Immunoglobulin heavy variable 3-53,IGHV3-53,Manual,,P01767,kwilson,2023-10-01,active
TGT-1430,Prostaglandin-H2 D-isomerase,PTGDS,Manual,CHEMBL3430865,P41222,adas,2023-04-16,active
TGT-1097,CTD small phosphatase-like protein 2,CTDSPL2,Manual,,Q05D32,lpatel,2024-05-23,active
TGT-1252,Immunoglobulin kappa variable 3-20,IGKV3-20,ChEMBL,,P01619,kwilson,2024-05-14,active
TGT-1041,Baculoviral IAP repeat-containing protein 2,BIRC2,Manual,CHEMBL5462,Q13490,lpatel,2025-06-03,active
TGT-1091,Carboxypeptidase E,CPE,UniProt,,P16870,adas,2022-03-03,active
TGT-1359,Serine/threonine-protein kinase Nek7,NEK7,UniProt,CHEMBL4849,Q8TDX7,jsmith,2024-11-11,active
TGT-9328,SLIT-ROBO Rho GTPase-activating protein 2C,,Manual,,P0DJJ0,lpatel,2024-05-05,active
TGT-1384,Paired box protein Pax-6,PAX6,ChEMBL,,P26367,jsmith,2022-09-06,active
TGT-1309,NKG2-D type II integral membrane protein,KLRK1,UniProt,CHEMBL5483005,P26718,lpatel,2023-10-13,active
TGT-1202,Peroxisomal multifunctional enzyme type 2,HSD17B4,ChEMBL,CHEMBL5814,P51659,kwilson,2022-09-03,active
TGT-1451,Proto-oncogene tyrosine-protein kinase ROS,ROS1,UniProt,CHEMBL5568,P08922,adas,2020-07-19,active
TGT-1338,Tyrosine-protein kinase Mer,MERTK,ChEMBL,CHEMBL5331,Q12866,adas,2025-12-09,active
TGT-1469,Protein transport protein Sec61 subunit alpha isoform 1,SEC61A1,ChEMBL,CHEMBL5725113,P61619,njain,2025-06-06,active
TGT-1329,Mitogen-activated protein kinase-binding protein 1,MAPKBP1,ChEMBL,,O60336,njain,2021-02-11,active
TGT-1132,Protein 4.2,EPB42,UniProt,,P16452,njain,2023-10-19,active
TGT-1237,Immunoglobulin heavy variable 4-39,IGHV4-39,ChEMBL,,P01824,njain,2023-10-13,active
TGT-1584,Xanthine dehydrogenase/oxidase,XDH,UniProt,CHEMBL1929,P47989,adas,2020-07-10,active
TGT-1034,"ATP synthase F(0) complex subunit g, mitochondrial",ATP5MG,Manual,CHEMBL6066998,O75964,lpatel,2025-06-06,active
TGT-1103,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1,DAD1,UniProt,CHEMBL6067390,P61803,adas,2022-03-09,active
TGT-1339,Hepatocyte growth factor receptor,MET,UniProt,CHEMBL3717,P08581,njain,2024-11-23,active
TGT-1010,All-trans-retinol dehydrogenase [NAD(+)] ADH7,ADH7,Manual,CHEMBL3867,P40394,njain,2023-10-10,active
TGT-1272,Immunoglobulin lambda variable 4-69,IGLV4-69,Manual,,A0A075B6H9,lpatel,2023-10-13,active
TGT-9751,Probable non-functional immunoglobulin lambda variable 11-55,,Manual,,A0A075B6I3,lpatel,2021-08-14,active
TGT-1140,Steroid hormone receptor ERR1,ESRRA,ChEMBL,CHEMBL3429,P11474,adas,2021-02-05,active
TGT-1449,2-5A-dependent ribonuclease,RNASEL,UniProt,CHEMBL3575,Q05823,adas,2021-02-08,active
TGT-1333,MBT domain-containing protein 1,MBTD1,UniProt,CHEMBL1287625,Q05BQ5,kwilson,2025-06-03,active
TGT-1201,Hepatocyte nuclear factor 4-alpha,HNF4A,ChEMBL,CHEMBL5398,P41235,njain,2025-12-03,active
TGT-1289,Inter-alpha-trypsin inhibitor heavy chain H3,ITIH3,ChEMBL,,Q06033,jsmith,2022-09-12,active
TGT-1251,Immunoglobulin kappa variable 2D-40,IGKV2D-40,Manual,,P01614,lpatel,2020-01-07,active
