chembl_id,pref_name,target_type,accession,gene_symbol,organism,tax_id,target_confidence
CHEMBL1783,"Vascular endothelial growth factor A, long form",SINGLE PROTEIN,P15692,VEGFA,Homo sapiens,9606,9
CHEMBL1940,Voltage-dependent L-type calcium channel subunit alpha-1C,SINGLE PROTEIN,Q13936,CACNA1C,Homo sapiens,9606,8
CHEMBL5724666,Host cell factor 1,SINGLE PROTEIN,P51610,HCFC1,Homo sapiens,9606,7
CHEMBL4683,Prolyl endopeptidase FAP,SINGLE PROTEIN,Q12884,FAP,Homo sapiens,9606,8
CHEMBL5837,Erythropoietin,SINGLE PROTEIN,P01588,EPO,Homo sapiens,9606,7
CHEMBL5408,Serine/threonine-protein kinase TBK1,SINGLE PROTEIN,Q9UHD2,TBK1,Homo sapiens,9606,7
CHEMBL5407,Serine/threonine-protein kinase pim-3,SINGLE PROTEIN,Q86V86,PIM3,Homo sapiens,9606,7
CHEMBL3093,Multifunctional protein CAD,SINGLE PROTEIN,P27708,CAD,Homo sapiens,9606,9
CHEMBL3879843,Stathmin,SINGLE PROTEIN,P16949,STMN1,Homo sapiens,9606,8
CHEMBL5814,Peroxisomal multifunctional enzyme type 2,SINGLE PROTEIN,P51659,HSD17B4,Homo sapiens,9606,9
CHEMBL3890,E-selectin,SINGLE PROTEIN,P16581,SELE,Homo sapiens,9606,7
CHEMBL3712988,Melanocyte protein PMEL,SINGLE PROTEIN,P40967,PMEL,Homo sapiens,9606,7
CHEMBL5600,MAP/microtubule affinity-regulating kinase 3,SINGLE PROTEIN,P27448,MARK3,Homo sapiens,9606,9
CHEMBL4630889,Glypican-3,SINGLE PROTEIN,P51654,GPC3,Homo sapiens,9606,8
CHEMBL3236,Tyrosine-protein phosphatase non-receptor type 12,SINGLE PROTEIN,Q05209,PTPN12,Homo sapiens,9606,8
CHEMBL230,Prostaglandin G/H synthase 2,SINGLE PROTEIN,P35354,PTGS2,Homo sapiens,9606,7
CHEMBL6066425,Calreticulin,SINGLE PROTEIN,P27797,CALR,Homo sapiens,9606,9
CHEMBL3594,Carbonic anhydrase 9,SINGLE PROTEIN,Q16790,CA9,Homo sapiens,9606,8
CHEMBL5724607,Splicing factor U2AF 65 kDa subunit,SINGLE PROTEIN,P26368,U2AF2,Homo sapiens,9606,9
CHEMBL1778,Interleukin-2 receptor subunit alpha,SINGLE PROTEIN,P01589,IL2RA,Homo sapiens,9606,7
CHEMBL2034,Glucocorticoid receptor,SINGLE PROTEIN,P04150,NR3C1,Homo sapiens,9606,7
CHEMBL2903,Polyunsaturated fatty acid lipoxygenase ALOX15,SINGLE PROTEIN,P16050,ALOX15,Homo sapiens,9606,7
CHEMBL1293229,Nuclear receptor subfamily 4immunitygroup A member 1,SINGLE PROTEIN,P22736,NR4A1,Homo sapiens,9606,7
CHEMBL3535,"High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A",SINGLE PROTEIN,O76083,PDE9A,Homo sapiens,9606,8
CHEMBL2068,Ephrin type-A receptor 2,SINGLE PROTEIN,B5A968,EPHA2,Homo sapiens,9606,8
CHEMBL4295652,Myosin regulatory light chain 12B,SINGLE PROTEIN,O14950,MYL12B,Homo sapiens,9606,8
CHEMBL1075319,Transient receptor potential cation channel subfamily M member 8,SINGLE PROTEIN,Q7Z2W7,TRPM8,Homo sapiens,9606,7
CHEMBL5398,Hepatocyte nuclear factor 4-alpha,SINGLE PROTEIN,P41235,HNF4A,Homo sapiens,9606,9
CHEMBL1795129,Interleukin-6,SINGLE PROTEIN,P05231,IL6,Homo sapiens,9606,8
CHEMBL203,Epidermal growth factor receptor,SINGLE PROTEIN,P00533,EGFR,Homo sapiens,9606,8
CHEMBL6066290,Natural cytotoxicity triggering receptor 1,SINGLE PROTEIN,O76036,NCR1,Homo sapiens,9606,7
CHEMBL4722,Aurora kinase A,SINGLE PROTEIN,O14965,AURKA,Homo sapiens,9606,8
CHEMBL2476,Potassium voltage-gated channel subfamily KQT member 2,SINGLE PROTEIN,O43526,KCNQ2,Homo sapiens,9606,7
CHEMBL3832942,Tubulin beta 8B,SINGLE PROTEIN,A6NNZ2,TUBB8B,Homo sapiens,9606,9
CHEMBL2107,C-X-C chemokine receptor type 4,SINGLE PROTEIN,P61073,CXCR4,Homo sapiens,9606,7
CHEMBL2695,Focal adhesion kinase 1,SINGLE PROTEIN,Q05397,PTK2,Homo sapiens,9606,8
CHEMBL5451,Sodium channel protein type 10 subunit alpha,SINGLE PROTEIN,Q9Y5Y9,SCN10A,Homo sapiens,9606,9
CHEMBL6136,Lysine-specific histone demethylase 1A,SINGLE PROTEIN,O60341,KDM1A,Homo sapiens,9606,9
CHEMBL3831208,26S proteasome regulatory subunit 8,SINGLE PROTEIN,P62195,PSMC5,Homo sapiens,9606,9
CHEMBL215,Polyunsaturated fatty acid 5-lipoxygenase,SINGLE PROTEIN,P09917,ALOX5,Homo sapiens,9606,7
CHEMBL6066931,Large ribosomal subunit protein eL13,SINGLE PROTEIN,P26373,RPL13,Homo sapiens,9606,7
CHEMBL3623,NAD(P)H dehydrogenase [quinone] 1,SINGLE PROTEIN,P15559,NQO1,Homo sapiens,9606,7
CHEMBL1929,Xanthine dehydrogenase/oxidase,SINGLE PROTEIN,P47989,XDH,Homo sapiens,9606,7
CHEMBL3808268,"10 kDa heat shock protein, mitochondrial",SINGLE PROTEIN,P61604,HSPE1,Homo sapiens,9606,9
CHEMBL1925,Secretin receptor,SINGLE PROTEIN,P47872,SCTR,Homo sapiens,9606,8
CHEMBL6067569,Small ribosomal subunit protein uS9,SINGLE PROTEIN,P62249,RPS16,Homo sapiens,9606,7
CHEMBL5108,Platelet-activating factor acetylhydrolase IB subunit alpha1,SINGLE PROTEIN,Q15102,PAFAH1B3,Homo sapiens,9606,8
CHEMBL5462,Baculoviral IAP repeat-containing protein 2,SINGLE PROTEIN,Q13490,BIRC2,Homo sapiens,9606,9
CHEMBL6066998,"ATP synthase F(0) complex subunit g, mitochondrial",SINGLE PROTEIN,O75964,ATP5MG,Homo sapiens,9606,9
CHEMBL3371,5-hydroxytryptamine receptor 6,SINGLE PROTEIN,P50406,HTR6,Homo sapiens,9606,8
CHEMBL4295735,Elongation factor 1-gamma,SINGLE PROTEIN,P26641,EEF1G,Homo sapiens,9606,7
CHEMBL2073693,Organic cation/carnitine transporter 2,SINGLE PROTEIN,O76082,SLC22A5,Homo sapiens,9606,7
CHEMBL321,Matrix metalloproteinase-9,SINGLE PROTEIN,P14780,MMP9,Homo sapiens,9606,7
CHEMBL2047,Bile acid receptor,SINGLE PROTEIN,Q96RI1,NR1H4,Homo sapiens,9606,7
CHEMBL218,Cannabinoid receptor 1,SINGLE PROTEIN,P21554,CNR1,Homo sapiens,9606,8
CHEMBL3835,Serine/threonine-protein kinase Nek2,SINGLE PROTEIN,P51955,NEK2,Homo sapiens,9606,8
CHEMBL1947,Thyroid hormone receptor beta,SINGLE PROTEIN,P10828,THRB,Homo sapiens,9606,8
CHEMBL4295823,Serum paraoxonase/arylesterase 2,SINGLE PROTEIN,Q15165,PON2,Homo sapiens,9606,7
CHEMBL4523153,Triple functional domain protein,SINGLE PROTEIN,O75962,TRIO,Homo sapiens,9606,7
CHEMBL2099,Prostate-specific antigen,SINGLE PROTEIN,P07288,KLK3,Homo sapiens,9606,7
CHEMBL3710408,14-3-3 protein theta,SINGLE PROTEIN,P27348,YWHAQ,Homo sapiens,9606,7
CHEMBL1951,Amine oxidase [flavin-containing] A,SINGLE PROTEIN,P21397,MAOA,Homo sapiens,9606,9
CHEMBL4846,SH2/SH3 adapter protein NCK1,SINGLE PROTEIN,P16333,NCK1,Homo sapiens,9606,7
CHEMBL3105,Poly [ADP-ribose] polymerase 1,SINGLE PROTEIN,P09874,PARP1,Homo sapiens,9606,9
CHEMBL210,Beta-2 adrenergic receptor,SINGLE PROTEIN,P07550,ADRB2,Homo sapiens,9606,8
CHEMBL1908383,Phosphatidylinositol 4-phosphate 5-kinase type-1 gamma,SINGLE PROTEIN,O60331,PIP5K1C,Homo sapiens,9606,7
CHEMBL2264,Puromycin-sensitive aminopeptidase,SINGLE PROTEIN,P55786,NPEPPS,Homo sapiens,9606,8
CHEMBL1075322,G protein-coupled receptor 55,SINGLE PROTEIN,Q9Y2T6,GPR55,Homo sapiens,9606,8
CHEMBL2176846,Advanced glycation end product-specific receptor,SINGLE PROTEIN,Q15109,AGER,Homo sapiens,9606,9
CHEMBL6067178,Syntaxin-binding protein 1,SINGLE PROTEIN,P61764,STXBP1,Homo sapiens,9606,8
CHEMBL4523179,Polyubiquitin-C,SINGLE PROTEIN,P0CG48,UBC,Homo sapiens,9606,9
CHEMBL1936,Mast/stem cell growth factor receptor Kit,SINGLE PROTEIN,P10721,KIT,Homo sapiens,9606,7
CHEMBL2163176,Lysine-specific demethylase 5C,SINGLE PROTEIN,P41229,KDM5C,Homo sapiens,9606,7
CHEMBL4105766,Ubiquitin-conjugating enzyme E2 D1,SINGLE PROTEIN,P51668,UBE2D1,Homo sapiens,9606,9
CHEMBL4295691,Polymeric immunoglobulin receptor,SINGLE PROTEIN,P01833,PIGR,Homo sapiens,9606,9
CHEMBL6067390,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1,SINGLE PROTEIN,P61803,DAD1,Homo sapiens,9606,9
CHEMBL2169731,NADPH--cytochrome P450 reductase,SINGLE PROTEIN,P16435,POR,Homo sapiens,9606,9
CHEMBL5587,Cyclic AMP-responsive element-binding protein 1,SINGLE PROTEIN,P16220,CREB1,Homo sapiens,9606,8
CHEMBL217,D(2) dopamine receptor,SINGLE PROTEIN,P14416,DRD2,Homo sapiens,9606,7
CHEMBL5725019,Rho guanine nucleotide exchange factor 6,SINGLE PROTEIN,Q15052,ARHGEF6,Homo sapiens,9606,8
CHEMBL6067333,Early endosome antigen 1,SINGLE PROTEIN,Q15075,EEA1,Homo sapiens,9606,8
CHEMBL3629,Casein kinase II subunit alpha,SINGLE PROTEIN,P68400,CSNK2A1,Homo sapiens,9606,8
CHEMBL1229011,Splicing factor 3B subunit 2,SINGLE PROTEIN,Q13435,SF3B2,Homo sapiens,9606,7
CHEMBL3961,Mitogen-activated protein kinase 11,SINGLE PROTEIN,Q15759,MAPK11,Homo sapiens,9606,9
CHEMBL5543,Dual specificity tyrosine-phosphorylation-regulated kinase 1B,SINGLE PROTEIN,Q9Y463,DYRK1B,Homo sapiens,9606,9
CHEMBL4578,Maternal embryonic leucine zipper kinase,SINGLE PROTEIN,Q14680,MELK,Homo sapiens,9606,8
CHEMBL1628478,Chloride channel protein 2,SINGLE PROTEIN,P51788,CLCN2,Homo sapiens,9606,9
CHEMBL5331,Tyrosine-protein kinase Mer,SINGLE PROTEIN,Q12866,MERTK,Homo sapiens,9606,9
CHEMBL4895,Tyrosine-protein kinase receptor UFO,SINGLE PROTEIN,P30530,AXL,Homo sapiens,9606,9
CHEMBL3429,Steroid hormone receptor ERR1,SINGLE PROTEIN,P11474,ESRRA,Homo sapiens,9606,8
CHEMBL1867,Alpha-2A adrenergic receptor,SINGLE PROTEIN,P08913,ADRA2A,Homo sapiens,9606,9
CHEMBL1825,Tumor necrosis factor,SINGLE PROTEIN,P01375,TNF,Homo sapiens,9606,9
CHEMBL3884,Sodium/glucose cotransporter 2,SINGLE PROTEIN,P31639,SLC5A2,Homo sapiens,9606,9
CHEMBL1878,Extracellular calcium-sensing receptor,SINGLE PROTEIN,P41180,CASR,Homo sapiens,9606,9
CHEMBL2000,Plasma kallikrein,SINGLE PROTEIN,P03952,KLKB1,Homo sapiens,9606,9
CHEMBL5971,Protein smoothened,SINGLE PROTEIN,Q99835,SMO,Homo sapiens,9606,9
CHEMBL6067239,Phosphatidylinositol-binding clathrin assembly protein,SINGLE PROTEIN,Q13492,PICALM,Homo sapiens,9606,8
CHEMBL3712987,Interleukin-3 receptor subunit alpha,SINGLE PROTEIN,P26951,IL3RA,Homo sapiens,9606,8
CHEMBL3831214,26S proteasome non-ATPase regulatory subunit 7,SINGLE PROTEIN,P51665,PSMD7,Homo sapiens,9606,9
CHEMBL1834,Immunoglobulin heavy constant epsilon,SINGLE PROTEIN,P01854,IGHE,Homo sapiens,9606,8
CHEMBL3831286,Myosin-7B,SINGLE PROTEIN,A7E2Y1,MYH7B,Homo sapiens,9606,7
CHEMBL1977,Vitamin D3 receptor,SINGLE PROTEIN,P11473,VDR,Homo sapiens,9606,8
CHEMBL5776,Mitogen-activated protein kinase kinase kinase 7,SINGLE PROTEIN,O43318,MAP3K7,Homo sapiens,9606,7
CHEMBL4523127,Transmembrane 4 L6 family member 5,SINGLE PROTEIN,O14894,TM4SF5,Homo sapiens,9606,9
CHEMBL1075116,DNA-binding protein inhibitor ID-1,SINGLE PROTEIN,P41134,ID1,Homo sapiens,9606,7
CHEMBL1963,Thyrotropin receptor,SINGLE PROTEIN,P16473,TSHR,Homo sapiens,9606,9
CHEMBL1865,Protein deacetylase HDAC6,SINGLE PROTEIN,Q9UBN7,HDAC6,Homo sapiens,9606,7
CHEMBL3717,Hepatocyte growth factor receptor,SINGLE PROTEIN,P08581,MET,Homo sapiens,9606,8
CHEMBL4295779,Aldehyde dehydrogenase family 3 member A2,SINGLE PROTEIN,P51648,ALDH3A2,Homo sapiens,9606,7
CHEMBL2015,"Glutamate receptor ionotropic, NMDA 1",SINGLE PROTEIN,Q05586,GRIN1,Homo sapiens,9606,9
CHEMBL3712954,Interleukin-15,SINGLE PROTEIN,P40933,IL15,Homo sapiens,9606,9
CHEMBL2401603,H(+)/Cl(-) exchange transporter 3,SINGLE PROTEIN,P51790,CLCN3,Homo sapiens,9606,9
CHEMBL6066850,Small ribosomal subunit protein uS15,SINGLE PROTEIN,P62277,RPS13,Homo sapiens,9606,8
CHEMBL3580496,Interleukin-1 alpha,SINGLE PROTEIN,P01583,IL1A,Homo sapiens,9606,8
CHEMBL2508,Cyclin-dependent kinase 6,SINGLE PROTEIN,Q00534,CDK6,Homo sapiens,9606,7
CHEMBL2447,Deoxycytidine kinase,SINGLE PROTEIN,P27707,DCK,Homo sapiens,9606,7
CHEMBL4804253,Interleukin-18 receptor 1,SINGLE PROTEIN,Q13478,IL18R1,Homo sapiens,9606,9
CHEMBL3575,2-5A-dependent ribonuclease,SINGLE PROTEIN,Q05823,RNASEL,Homo sapiens,9606,8
CHEMBL3530,Dual specificity mitogen-activated protein kinase kinase 7,SINGLE PROTEIN,O14733,MAP2K7,Homo sapiens,9606,7
CHEMBL6066905,Large ribosomal subunit protein uL13,SINGLE PROTEIN,P40429,RPL13A,Homo sapiens,9606,7
CHEMBL4674,Mitogen-activated protein kinase 12,SINGLE PROTEIN,P53778,MAPK12,Homo sapiens,9606,8
CHEMBL3155,5-hydroxytryptamine receptor 7,SINGLE PROTEIN,P34969,HTR7,Homo sapiens,9606,9
CHEMBL1994,Mineralocorticoid receptor,SINGLE PROTEIN,P08235,NR3C2,Homo sapiens,9606,7
CHEMBL5023,E3 ubiquitin-protein ligase Mdm2,SINGLE PROTEIN,Q00987,MDM2,Homo sapiens,9606,9
CHEMBL2189110,Histone-lysine N-methyltransferase EZH2,SINGLE PROTEIN,Q15910,EZH2,Homo sapiens,9606,8
CHEMBL3788,Serine/threonine-protein kinase PLK4,SINGLE PROTEIN,O00444,PLK4,Homo sapiens,9606,8
CHEMBL4630820,Ubiquitin carboxyl-terminal hydrolase 11,SINGLE PROTEIN,P51784,USP11,Homo sapiens,9606,8
CHEMBL1862,Tyrosine-protein kinase ABL1,SINGLE PROTEIN,P00519,ABL1,Homo sapiens,9606,8
CHEMBL3867,All-trans-retinol dehydrogenase [NAD(+)] ADH7,SINGLE PROTEIN,P40394,ADH7,Homo sapiens,9606,7
CHEMBL2599,Tyrosine-protein kinase SYK,SINGLE PROTEIN,P43405,SYK,Homo sapiens,9606,9
CHEMBL2417352,Microtubule-associated serine/threonine-protein kinase 3,SINGLE PROTEIN,O60307,MAST3,Homo sapiens,9606,7
CHEMBL5586,Carbonyl reductase [NADPH] 1,SINGLE PROTEIN,P16152,CBR1,Homo sapiens,9606,9
CHEMBL4630802,Interferon-inducible protein AIM2,SINGLE PROTEIN,O14862,AIM2,Homo sapiens,9606,8
CHEMBL2783,Cyclin-dependent kinase 5 activator 1,SINGLE PROTEIN,Q15078,CDK5R1,Homo sapiens,9606,9
CHEMBL4461,"NAD-dependent protein deacetylase sirtuin-3, mitochondrial",SINGLE PROTEIN,Q9NTG7,SIRT3,Homo sapiens,9606,9
CHEMBL6067588,Ubiquitin carboxyl-terminal hydrolase 46,SINGLE PROTEIN,P62068,USP46,Homo sapiens,9606,8
CHEMBL6066929,V-type proton ATPase 16 kDa proteolipid subunit c,SINGLE PROTEIN,P27449,ATP6V0C,Homo sapiens,9606,7
CHEMBL267,Proto-oncogene tyrosine-protein kinase Src,SINGLE PROTEIN,P12931,SRC,Homo sapiens,9606,8
CHEMBL5465274,Serine/threonine-protein phosphatase with EF-hands 1,SINGLE PROTEIN,O14829,PPEF1,Homo sapiens,9606,8
CHEMBL3834,Cytoplasmic tyrosine-protein kinase BMX,SINGLE PROTEIN,P51813,BMX,Homo sapiens,9606,7
CHEMBL2364708,Calcium-activated chloride channel regulator 1,SINGLE PROTEIN,A8K7I4,CLCA1,Homo sapiens,9606,8
CHEMBL2820,Coagulation factor XI,SINGLE PROTEIN,P03951,F11,Homo sapiens,9606,7
CHEMBL3712957,Insulin-like growth factor 2,SINGLE PROTEIN,P01344,IGF2,Homo sapiens,9606,7
CHEMBL3529,Inhibitor of nuclear factor kappa-B kinase subunit epsilon,SINGLE PROTEIN,Q14164,IKBKE,Homo sapiens,9606,9
CHEMBL2243,Fatty-acid amide hydrolase 1,SINGLE PROTEIN,O00519,FAAH,Homo sapiens,9606,9
CHEMBL4191,Monoglyceride lipase,SINGLE PROTEIN,Q99685,MGLL,Homo sapiens,9606,9
CHEMBL3357,Interleukin-1 receptor-associated kinase 1,SINGLE PROTEIN,P51617,IRAK1,Homo sapiens,9606,7
CHEMBL3542437,Cytochrome P450 2D7,SINGLE PROTEIN,A0A087X1C5,CYP2D7,Homo sapiens,9606,8
CHEMBL3286073,Interferon gamma,SINGLE PROTEIN,P01579,IFNG,Homo sapiens,9606,7
CHEMBL6067085,Nuclear transport factor 2,SINGLE PROTEIN,P61970,NUTF2,Homo sapiens,9606,9
CHEMBL1966,"Dihydroorotate dehydrogenase (quinone), mitochondrial",SINGLE PROTEIN,Q02127,DHODH,Homo sapiens,9606,9
CHEMBL2321639,Histo-blood group ABO system transferase,SINGLE PROTEIN,P16442,ABO,Homo sapiens,9606,8
CHEMBL2203,Motilin receptor,SINGLE PROTEIN,O43193,MLNR,Homo sapiens,9606,7
CHEMBL5014,Receptor-interacting serine/threonine-protein kinase 2,SINGLE PROTEIN,O43353,RIPK2,Homo sapiens,9606,9
CHEMBL1795122,Elongation factor 1-alpha 2,SINGLE PROTEIN,Q05639,EEF1A2,Homo sapiens,9606,7
CHEMBL4523108,TANK-binding kinase 1-binding protein 1,SINGLE PROTEIN,A7MCY6,TBKBP1,Homo sapiens,9606,8
CHEMBL3880,Heat shock protein HSP 90-alpha,SINGLE PROTEIN,P07900,HSP90AA1,Homo sapiens,9606,7
CHEMBL4849,Serine/threonine-protein kinase Nek7,SINGLE PROTEIN,Q8TDX7,NEK7,Homo sapiens,9606,8
CHEMBL2109233,Neuronal acetylcholine receptor subunit beta-3,SINGLE PROTEIN,Q05901,CHRNB3,Homo sapiens,9606,9
CHEMBL1908381,Peripheral plasma membrane protein CASK,SINGLE PROTEIN,O14936,CASK,Homo sapiens,9606,8
CHEMBL3580506,T cell receptor alpha chain constant,SINGLE PROTEIN,P01848,TRAC,Homo sapiens,9606,7
CHEMBL4295653,Calmegin,SINGLE PROTEIN,O14967,CLGN,Homo sapiens,9606,9
CHEMBL5285,Mitogen-activated protein kinase kinase kinase 5,SINGLE PROTEIN,Q99683,MAP3K5,Homo sapiens,9606,7
CHEMBL6067213,DDB1- and CUL4-associated factor 7,SINGLE PROTEIN,P61962,DCAF7,Homo sapiens,9606,7
CHEMBL4894,Galanin receptor type 1,SINGLE PROTEIN,P47211,GALR1,Homo sapiens,9606,8
CHEMBL4051,Cystic fibrosis transmembrane conductance regulator,SINGLE PROTEIN,P13569,CFTR,Homo sapiens,9606,9
CHEMBL3864,Tyrosine-protein phosphatase non-receptor type 11,SINGLE PROTEIN,Q06124,PTPN11,Homo sapiens,9606,7
CHEMBL2292,Dual specificity tyrosine-phosphorylation-regulated kinase 1A,SINGLE PROTEIN,Q13627,DYRK1A,Homo sapiens,9606,8
CHEMBL3670,3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 2,SINGLE PROTEIN,P26439,HSD3B2,Homo sapiens,9606,9
CHEMBL5725034,Small nuclear ribonucleoprotein Sm D3,SINGLE PROTEIN,P62318,SNRPD3,Homo sapiens,9606,9
CHEMBL2612,Valine--tRNA ligase,SINGLE PROTEIN,P26640,VARS1,Homo sapiens,9606,9
