accession,entry_name,gene_names,protein_name,organism,reviewed,length,database
P0CZ25,D10OS_HUMAN,DNAH10OS,Uncharacterized protein DNAH10OS,Homo sapiens (Human),reviewed,163,Swiss-Prot
P01593,KVD33_HUMAN,IGKV1D-33,Immunoglobulin kappa variable 1D-33,Homo sapiens (Human),reviewed,117,Swiss-Prot
P03372,ESR1_HUMAN,ESR1,Estrogen receptor,Homo sapiens (Human),reviewed,595,Swiss-Prot
A7MBM2,DISP2_HUMAN,DISP2,Protein dispatched homolog 2,Homo sapiens (Human),reviewed,1401,Swiss-Prot
Q13439,GOGA4_HUMAN,GOLGA4,Golgin subfamily A member 4,Homo sapiens (Human),reviewed,2230,Swiss-Prot
Q05195,MAD1_HUMAN,MXD1,Max dimerization protein 1,Homo sapiens (Human),reviewed,221,Swiss-Prot
P01834,IGKC_HUMAN,IGKC,Immunoglobulin kappa constant,Homo sapiens (Human),reviewed,107,Swiss-Prot
P0DJD1,RGPD2_HUMAN,RGPD2,RANBP2-like and GRIP domain-containing protein 2,Homo sapiens (Human),reviewed,1756,Swiss-Prot
A0A0A0MS01,TVG10_HUMAN,TRGV10,Probable non-functional T cell receptor gamma variable 10,Homo sapiens (Human),reviewed,119,Swiss-Prot
Q05952,STP2_HUMAN,TNP2,Nuclear transition protein 2,Homo sapiens (Human),reviewed,138,Swiss-Prot
O14933,UB2L6_HUMAN,UBE2L6,Ubiquitin/ISG15-conjugating enzyme E2 L6,Homo sapiens (Human),reviewed,153,Swiss-Prot
P16152,CBR1_HUMAN,CBR1,Carbonyl reductase [NADPH] 1,Homo sapiens (Human),reviewed,277,Swiss-Prot
Q05DH4,FHI1A_HUMAN,FHIP1A,FHF complex subunit HOOK-interacting protein 1A,Homo sapiens (Human),reviewed,1040,Swiss-Prot
O14733,MP2K7_HUMAN,MAP2K7,Dual specificity mitogen-activated protein kinase kinase 7,Homo sapiens (Human),reviewed,419,Swiss-Prot
P01588,EPO_HUMAN,EPO,Erythropoietin,Homo sapiens (Human),reviewed,193,Swiss-Prot
P00918,CAH2_HUMAN,CA2,Carbonic anhydrase 2,Homo sapiens (Human),reviewed,260,Swiss-Prot
P45452,MMP13_HUMAN,MMP13,Collagenase 3,Homo sapiens (Human),reviewed,471,Swiss-Prot
O76074,PDE5A_HUMAN,PDE5A,"cGMP-specific 3',5'-cyclic phosphodiesterase",Homo sapiens (Human),reviewed,875,Swiss-Prot
P16260,GDC_HUMAN,SLC25A16,Mitochondrial coenzyme A transporter SLC25A16,Homo sapiens (Human),reviewed,332,Swiss-Prot
Q9UHD2,TBK1_HUMAN,TBK1,Serine/threonine-protein kinase TBK1,Homo sapiens (Human),reviewed,729,Swiss-Prot
P26368,U2AF2_HUMAN,U2AF2,Splicing factor U2AF 65 kDa subunit,Homo sapiens (Human),reviewed,475,Swiss-Prot
P61964,WDR5_HUMAN,WDR5,WD repeat-containing protein 5,Homo sapiens (Human),reviewed,334,Swiss-Prot
Q6V1X1,DPP8_HUMAN,DPP8,Dipeptidyl peptidase 8,Homo sapiens (Human),reviewed,898,Swiss-Prot
P01563,IFNA2_HUMAN,IFNA2,Interferon alpha-2,Homo sapiens (Human),reviewed,188,Swiss-Prot
O76081,RGS20_HUMAN,RGS20,Regulator of G protein signaling 20,Homo sapiens (Human),reviewed,388,Swiss-Prot
Q14680,MELK_HUMAN,MELK,Maternal embryonic leucine zipper kinase,Homo sapiens (Human),reviewed,651,Swiss-Prot
Q05D32,CTSL2_HUMAN,CTDSPL2,CTD small phosphatase-like protein 2,Homo sapiens (Human),reviewed,466,Swiss-Prot
A0A096LPI5,GVQW2_HUMAN,CCDC28A-AS1,Putative uncharacterized protein CCDC28A-AS1,Homo sapiens (Human),reviewed,108,Swiss-Prot
P48147,PPCE_HUMAN,PREP,Prolyl endopeptidase,Homo sapiens (Human),reviewed,710,Swiss-Prot
P35968,VGFR2_HUMAN,KDR,Vascular endothelial growth factor receptor 2,Homo sapiens (Human),reviewed,1356,Swiss-Prot
P07550,ADRB2_HUMAN,ADRB2,Beta-2 adrenergic receptor,Homo sapiens (Human),reviewed,413,Swiss-Prot
P26599,PTBP1_HUMAN,PTBP1,Polypyrimidine tract-binding protein 1,Homo sapiens (Human),reviewed,557,Swiss-Prot
P62341,SELT_HUMAN,SELENOT,Thioredoxin reductase-like selenoprotein T,Homo sapiens (Human),reviewed,195,Swiss-Prot
Q86TI2,DPP9_HUMAN,DPP9,Dipeptidyl peptidase 9,Homo sapiens (Human),reviewed,863,Swiss-Prot
P26842,CD27_HUMAN,CD27,CD27 antigen,Homo sapiens (Human),reviewed,260,Swiss-Prot
P62310,LSM3_HUMAN,LSM3,U6 snRNA-associated Sm-like protein LSm3,Homo sapiens (Human),reviewed,102,Swiss-Prot
O60299,LZTS3_HUMAN,LZTS3,Leucine zipper putative tumor suppressor 3,Homo sapiens (Human),reviewed,673,Swiss-Prot
P01850,TRBC1_HUMAN,TRBC1,T cell receptor beta constant 1,Homo sapiens (Human),reviewed,176,Swiss-Prot
O14862,AIM2_HUMAN,AIM2,Interferon-inducible protein AIM2,Homo sapiens (Human),reviewed,343,Swiss-Prot
P11802,CDK4_HUMAN,CDK4,Cyclin-dependent kinase 4,Homo sapiens (Human),reviewed,303,Swiss-Prot
P01763,HV348_HUMAN,IGHV3-48,Immunoglobulin heavy variable 3-48,Homo sapiens (Human),reviewed,117,Swiss-Prot
P01782,HV309_HUMAN,IGHV3-9,Immunoglobulin heavy variable 3-9,Homo sapiens (Human),reviewed,118,Swiss-Prot
P0CJ88,DU4L5_HUMAN,DUX4L5,Double homeobox protein 4-like protein 5,Homo sapiens (Human),reviewed,424,Swiss-Prot
Q15111,PLCL1_HUMAN,PLCL1,Inactive phospholipase C-like protein 1,Homo sapiens (Human),reviewed,1095,Swiss-Prot
Q13469,NFAC2_HUMAN,NFATC2,"Nuclear factor of activated T-cells, cytoplasmic 2",Homo sapiens (Human),reviewed,925,Swiss-Prot
A0A075B6S5,KV127_HUMAN,IGKV1-27,Immunoglobulin kappa variable 1-27,Homo sapiens (Human),reviewed,117,Swiss-Prot
P27348,1433T_HUMAN,YWHAQ,14-3-3 protein theta,Homo sapiens (Human),reviewed,245,Swiss-Prot
A8K0Z3,WASH1_HUMAN,WASHC1,WASH complex subunit 1,Homo sapiens (Human),reviewed,465,Swiss-Prot
O43603,GALR2_HUMAN,GALR2,Galanin receptor type 2,Homo sapiens (Human),reviewed,387,Swiss-Prot
O60330,PCDGC_HUMAN,PCDHGA12,Protocadherin gamma-A12,Homo sapiens (Human),reviewed,932,Swiss-Prot
P51800,CLCKA_HUMAN,CLCNKA,Chloride channel protein ClC-Ka,Homo sapiens (Human),reviewed,687,Swiss-Prot
A0A087X1G2,TBC3K_HUMAN,TBC1D3K,TBC1 domain family member 3K,Homo sapiens (Human),reviewed,549,Swiss-Prot
A0A087WSY6,KVD15_HUMAN,IGKV3D-15,Immunoglobulin kappa variable 3D-15,Homo sapiens (Human),reviewed,115,Swiss-Prot
P61764,STXB1_HUMAN,STXBP1,Syntaxin-binding protein 1,Homo sapiens (Human),reviewed,594,Swiss-Prot
O00220,TR10A_HUMAN,TNFRSF10A,Tumor necrosis factor receptor superfamily member 10A,Homo sapiens (Human),reviewed,468,Swiss-Prot
P41225,SOX3_HUMAN,SOX3,Transcription factor SOX-3,Homo sapiens (Human),reviewed,446,Swiss-Prot
P40933,IL15_HUMAN,IL15,Interleukin-15,Homo sapiens (Human),reviewed,162,Swiss-Prot
Q15056,IF4H_HUMAN,EIF4H,Eukaryotic translation initiation factor 4H,Homo sapiens (Human),reviewed,248,Swiss-Prot
P16278,BGAL_HUMAN,GLB1,Beta-galactosidase,Homo sapiens (Human),reviewed,677,Swiss-Prot
O43570,CAH12_HUMAN,CA12,Carbonic anhydrase 12,Homo sapiens (Human),reviewed,354,Swiss-Prot
P62244,RS15A_HUMAN,RPS15A,Small ribosomal subunit protein uS8,Homo sapiens (Human),reviewed,130,Swiss-Prot
P62314,SMD1_HUMAN,SNRPD1,Small nuclear ribonucleoprotein Sm D1,Homo sapiens (Human),reviewed,119,Swiss-Prot
P43004,EAA2_HUMAN,SLC1A2,Excitatory amino acid transporter 2,Homo sapiens (Human),reviewed,574,Swiss-Prot
P51793,CLCN4_HUMAN,CLCN4,H(+)/Cl(-) exchange transporter 4,Homo sapiens (Human),reviewed,760,Swiss-Prot
O14965,AURKA_HUMAN,AURKA,Aurora kinase A,Homo sapiens (Human),reviewed,403,Swiss-Prot
P62277,RS13_HUMAN,RPS13,Small ribosomal subunit protein uS15,Homo sapiens (Human),reviewed,151,Swiss-Prot
A8K8P3,SFI1_HUMAN,SFI1,Protein SFI1 homolog,Homo sapiens (Human),reviewed,1242,Swiss-Prot
Q86V86,PIM3_HUMAN,PIM3,Serine/threonine-protein kinase pim-3,Homo sapiens (Human),reviewed,326,Swiss-Prot
Q9Y5Y9,SCNAA_HUMAN,SCN10A,Sodium channel protein type 10 subunit alpha,Homo sapiens (Human),reviewed,1956,Swiss-Prot
P0CL81,GG12G_HUMAN,GAGE12G,G antigen 12G,Homo sapiens (Human),reviewed,117,Swiss-Prot
P51813,BMX_HUMAN,BMX,Cytoplasmic tyrosine-protein kinase BMX,Homo sapiens (Human),reviewed,675,Swiss-Prot
P48735,IDHP_HUMAN,IDH2,"Isocitrate dehydrogenase [NADP], mitochondrial",Homo sapiens (Human),reviewed,452,Swiss-Prot
P40967,PMEL_HUMAN,PMEL,Melanocyte protein PMEL,Homo sapiens (Human),reviewed,661,Swiss-Prot
B4DS61,B4DS61_HUMAN,SRPK1,SRSF protein kinase 1,Homo sapiens (Human),unreviewed,635,TrEMBL
P07288,KLK3_HUMAN,KLK3,Prostate-specific antigen,Homo sapiens (Human),reviewed,261,Swiss-Prot
O60331,PI51C_HUMAN,PIP5K1C,Phosphatidylinositol 4-phosphate 5-kinase type-1 gamma,Homo sapiens (Human),reviewed,668,Swiss-Prot
O76071,CIAO1_HUMAN,CIAO1,Probable cytosolic iron-sulfur protein assembly protein CIAO1,Homo sapiens (Human),reviewed,339,Swiss-Prot
P51687,SUOX_HUMAN,SUOX,"Sulfite oxidase, mitochondrial",Homo sapiens (Human),reviewed,545,Swiss-Prot
O14744,ANM5_HUMAN,PRMT5,Protein arginine N-methyltransferase 5,Homo sapiens (Human),reviewed,637,Swiss-Prot
Q15102,PA1B3_HUMAN,PAFAH1B3,Platelet-activating factor acetylhydrolase IB subunit alpha1,Homo sapiens (Human),reviewed,231,Swiss-Prot
P01344,IGF2_HUMAN,IGF2,Insulin-like growth factor 2,Homo sapiens (Human),reviewed,180,Swiss-Prot
A7E2F4,GOG8A_HUMAN,GOLGA8A,Golgin subfamily A member 8A,Homo sapiens (Human),reviewed,631,Swiss-Prot
Q05639,EF1A2_HUMAN,EEF1A2,Elongation factor 1-alpha 2,Homo sapiens (Human),reviewed,463,Swiss-Prot
A6NNH2,F90AR_HUMAN,FAM90A27P,Protein FAM90A27P,Homo sapiens (Human),reviewed,459,Swiss-Prot
P22897,MRC1_HUMAN,MRC1,Macrophage mannose receptor 1,Homo sapiens (Human),reviewed,1456,Swiss-Prot
P16581,LYAM2_HUMAN,SELE,E-selectin,Homo sapiens (Human),reviewed,610,Swiss-Prot
P27539,GDF1_HUMAN,GDF1,Embryonic growth/differentiation factor 1,Homo sapiens (Human),reviewed,372,Swiss-Prot
A0A075B6I0,LV861_HUMAN,IGLV8-61,Immunoglobulin lambda variable 8-61,Homo sapiens (Human),reviewed,122,Swiss-Prot
Q9BYF1,ACE2_HUMAN,ACE2,Angiotensin-converting enzyme 2,Homo sapiens (Human),reviewed,805,Swiss-Prot
P43235,CATK_HUMAN,CTSK,Cathepsin K,Homo sapiens (Human),reviewed,329,Swiss-Prot
P01762,HV311_HUMAN,IGHV3-11,Immunoglobulin heavy variable 3-11,Homo sapiens (Human),reviewed,117,Swiss-Prot
O76038,SEGN_HUMAN,SCGN,Secretagogin,Homo sapiens (Human),reviewed,276,Swiss-Prot
A6NNM8,TTL13_HUMAN,TTLL13,Tubulin polyglutamylase TTLL13,Homo sapiens (Human),reviewed,815,Swiss-Prot
P01703,LV140_HUMAN,IGLV1-40,Immunoglobulin lambda variable 1-40,Homo sapiens (Human),reviewed,118,Swiss-Prot
Q13472,TOP3A_HUMAN,TOP3A,DNA topoisomerase 3-alpha,Homo sapiens (Human),reviewed,1001,Swiss-Prot
P01833,PIGR_HUMAN,PIGR,Polymeric immunoglobulin receptor,Homo sapiens (Human),reviewed,764,Swiss-Prot
O76093,FGF18_HUMAN,FGF18,Fibroblast growth factor 18,Homo sapiens (Human),reviewed,207,Swiss-Prot
P61758,PFD3_HUMAN,VBP1,Prefoldin subunit 3,Homo sapiens (Human),reviewed,197,Swiss-Prot
A7E2V4,ZSWM8_HUMAN,ZSWIM8,Zinc finger SWIM domain-containing protein 8,Homo sapiens (Human),reviewed,1837,Swiss-Prot
O43353,RIPK2_HUMAN,RIPK2,Receptor-interacting serine/threonine-protein kinase 2,Homo sapiens (Human),reviewed,540,Swiss-Prot
O14950,ML12B_HUMAN,MYL12B,Myosin regulatory light chain 12B,Homo sapiens (Human),reviewed,172,Swiss-Prot
A6NNS2,DRS7C_HUMAN,DHRS7C,Dehydrogenase/reductase SDR family member 7C,Homo sapiens (Human),reviewed,312,Swiss-Prot
B2RPP8,B2RPP8_HUMAN,HNF4A,Hepatocyte nuclear factor 4-alpha,Homo sapiens (Human),unreviewed,479,TrEMBL
P0DJI8,SAA1_HUMAN,SAA1,Serum amyloid A-1 protein,Homo sapiens (Human),reviewed,122,Swiss-Prot
P0CG40,SP9_HUMAN,SP9,Transcription factor Sp9,Homo sapiens (Human),reviewed,484,Swiss-Prot
P0CW18,PRS56_HUMAN,PRSS56,Serine protease 56,Homo sapiens (Human),reviewed,603,Swiss-Prot
O60281,ZN292_HUMAN,ZNF292,Zinc finger protein 292,Homo sapiens (Human),reviewed,2723,Swiss-Prot
P40306,PSB10_HUMAN,PSMB10,Proteasome subunit beta type-10,Homo sapiens (Human),reviewed,273,Swiss-Prot
Q13438,OS9_HUMAN,OS9,Protein OS-9,Homo sapiens (Human),reviewed,667,Swiss-Prot
P01579,IFNG_HUMAN,IFNG,Interferon gamma,Homo sapiens (Human),reviewed,166,Swiss-Prot
P08913,ADA2A_HUMAN,ADRA2A,Alpha-2A adrenergic receptor,Homo sapiens (Human),reviewed,465,Swiss-Prot
P0DJD0,RGPD1_HUMAN,RGPD1,RANBP2-like and GRIP domain-containing protein 1,Homo sapiens (Human),reviewed,1748,Swiss-Prot
P11309,PIM1_HUMAN,PIM1,Serine/threonine-protein kinase pim-1,Homo sapiens (Human),reviewed,313,Swiss-Prot
A0A075B6K0,LV316_HUMAN,IGLV3-16,Immunoglobulin lambda variable 3-16,Homo sapiens (Human),reviewed,115,Swiss-Prot
A0A075B6K2,LV312_HUMAN,IGLV3-12,Immunoglobulin lambda variable 3-12,Homo sapiens (Human),reviewed,115,Swiss-Prot
Q05086-3,UBE3A_HUMAN,UBE3A,Isoform III of Ubiquitin-protein ligase E3A,Homo sapiens (Human),reviewed,872,Swiss-Prot
P01568,IFN21_HUMAN,IFNA21,Interferon alpha-21,Homo sapiens (Human),reviewed,189,Swiss-Prot
A6NNM3,RIM3B_HUMAN,RIMBP3B,RIMS-binding protein 3B,Homo sapiens (Human),reviewed,1639,Swiss-Prot
P62280,RS11_HUMAN,RPS11,Small ribosomal subunit protein uS17,Homo sapiens (Human),reviewed,158,Swiss-Prot
Q9BYW2,SETD2_HUMAN,SETD2,Histone-lysine N-methyltransferase SETD2,Homo sapiens (Human),reviewed,2564,Swiss-Prot
P01854,IGHE_HUMAN,IGHE,Immunoglobulin heavy constant epsilon,Homo sapiens (Human),reviewed,546,Swiss-Prot
O14944,EREG_HUMAN,EREG,Proepiregulin,Homo sapiens (Human),reviewed,169,Swiss-Prot
P51784,UBP11_HUMAN,USP11,Ubiquitin carboxyl-terminal hydrolase 11,Homo sapiens (Human),reviewed,963,Swiss-Prot
A0A075B6T8,TVA91_HUMAN,TRAV9-1,T cell receptor alpha variable 9-1,Homo sapiens (Human),reviewed,112,Swiss-Prot
